"DOY" "Depth" "NPP"
200 80 1.8
200 100 2.04
200 120 0.34
200 140 0
228 1 3.6
228 20 3.59
228 40 4.39
228 60 3.27
228 80 3
228 100 2.13
228 120 0.88
228 140 0.38
263 1 2.17
263 20 3.01
263 40 1.31
263 60 2.86
263 80 2.1
263 100 0.99
263 120 0.39
263 140 0.07
292 1 12.24
292 20 9.26
292 40 6.43
292 60 2.25
292 80 0.55
292 100 0.11
292 120 0.1
292 140 0.01
319 1 4.58
319 20 4.26
319 40 1.01
319 60 1.16
319 80 0.34
319 100 0.12
319 120 0.16
319 140 0.06
343 1 2.55
343 20 2.72
343 40 2.55
343 60 1.42
343 80 1.58
343 100 0.68
343 120 0.65
343 140 0.69
11 1 3.82
11 20 6.56
11 40 4.67
11 60 2.93
11 80 0.88
11 100 0.38
11 120 0.28
11 140 0.11
32 1 3.64
32 20 10.97
32 40 7.77
32 60 3.07
32 80 0.94
32 100 0.09
32 120 0.17
32 140 0.15
45 1 11.39
45 20 6.97
45 40 2.82
45 60 0.77
45 80 0.32
60 1 17.81
60 20 21.28
60 40 13.16
60 60 3.69
60 80 0.34
60 100 1.49
60 140 0.1
75 1 3.39
75 20 5.48
75 40 10.28
75 60 3.83
75 80 1.61
75 100 0.46
75 120 0.16
75 140 0.13
88 1 2.7
88 20 5.08
88 40 7.06
88 60 2.86
88 80 1.32
88 100 0.29
88 120 0.06
101 1 5.6
101 20 6.23
101 40 6.15
101 60 4.2
101 80 2.32
101 100 1.39
101 120 0.39
101 140 0.03
117 1 5.32
117 20 6.73
117 40 6.86
117 60 8.86
117 80 5.52
117 100 0.91
117 120 0.25
117 140 0.01
131 1 14.21
131 20 16.51
131 40 12.83
131 60 3.77
131 80 0.53
131 100 0.62
131 120 0.34
131 140 0.1
164 1 3.87
164 20 3.6
164 40 3.69
164 60 3.24
164 80 2.62
164 100 2.37
164 120 0.54
164 140 0.14
192 1 4.7
192 20 4.22
192 40 17.91
192 60 15.47
192 80 2.95
192 100 0.11
231 1 2.65
231 20 2.51
231 40 2.3
231 60 3.33
231 80 3.29
231 100 3.75
231 120 1.17
231 140 0.3
256 1 2.62
256 20 3.24
256 40 4.45
256 60 1.55
256 80 3.81
256 100 4.42
256 120 0.47
256 140 0.16
286 1 1.92
286 20 2.41
286 40 3.75
286 60 3.42
286 80 2.69
286 100 2.03
286 120 0.58
286 140 0.17
315 1 6.29
315 20 5.49
315 40 5.59
315 60 2.23
315 80 3.12
315 100 0.38
315 120 0.09
315 140 0.11
349 1 3.15
349 20 5.36
349 40 4.06
349 60 2.06
349 80 1.53
349 100 0.37
349 120 0.29
349 140 0.03
30 1 11.2
30 20 13.06
30 40 6.44
30 60 2.17
30 80 0.74
30 100 0.17
30 120 0.02
30 140 0
46 1 8.32
46 20 12.11
46 40 10.56
46 60 3.57
46 80 1.15
46 100 0.3
46 120 0.06
59 1 4.93
59 20 8.45
59 40 6.89
59 60 1.79
59 80 0.32
59 100 0.08
59 120 2.2
59 140 0.78
75 1 4.41
75 20 6.1
75 40 5.26
75 60 7.04
75 80 4.12
75 100 0.92
75 120 0.12
75 140 0.03
88 1 12.61
88 20 16.52
88 40 13.1
88 60 12.6
88 80 4.23
88 100 1.2
88 120 0
88 140 0.01
100 1 5.28
100 20 4.45
100 40 7.33
100 60 3.78
100 80 0.48
114 1 9.52
114 20 25.58
114 40 39.17
114 60 4.23
114 80 0.85
114 100 0.02
114 120 0.1
128 1 6.06
128 20 4.8
128 40 2.79
128 60 3.72
128 80 2.7
128 100 0.31
163 1 4.88
163 20 4.48
163 40 4.22
163 60 3.7
163 80 3.25
163 100 2.76
163 120 0.72
163 140 0.13
186 1 10.74
186 10 9.21
186 20 11.33
186 30 8.08
186 40 8.07
186 60 7.75
186 80 4.68
186 100 2.07
186 120 0.73
186 140 0.28
187 1 5.64
187 10 5.85
187 20 5.8
187 30 4.45
187 40 1.4
187 60 5.31
187 80 3.26
187 100 2.35
187 120 0.42
187 140 0.14
191 1 10.17
191 21 8.51
191 40 6.51
191 60 6.29
191 80 2.74
191 100 2.51
191 120 0.03
219 1 6.06
219 20 4.16
219 40 5.85
219 60 4.4
219 80 2.77
219 100 2.41
219 120 0.97
219 140 0.13
247 1 4.02
247 20 4.82
247 40 6.05
247 60 4.58
247 80 2.76
247 100 1.4
247 120 0.79
247 140 0.25
283 1 4.81
283 21 4.99
283 40 5.27
283 60 5.23
283 80 3.27
283 100 1.43
283 120 0.43
283 140 0.28
311 1 4.54
311 21 4.24
311 40 3.71
311 60 2.53
311 80 1.89
311 100 0.67
311 120 0.42
311 140 0.11
347 1 16.23
347 20 13.08
347 40 5.99
347 60 2
347 80 0.44
347 100 0.11
14 1 7.28
14 20 5.25
14 40 2.26
14 60 0.91
14 80 0.2
14 100 0.03
28 1 12.16
28 20 12.9
28 40 8.66
28 60 3.12
28 80 0.96
28 100 0.24
38 1 4.76
38 20 3.92
38 40 2.82
38 60 3.24
38 80 2.05
38 100 0.5
38 120 0.23
38 140 0.11
52 1 5.69
52 20 6.32
52 40 7.66
52 60 9.07
52 80 6.42
52 100 1.76
52 120 0.23
52 140 0.15
64 1 2.2
64 20 2.26
64 40 2.9
64 60 2.63
64 80 1.75
64 100 1.27
64 120 0.56
64 140 0.16
78 1 3.73
78 20 4.79
78 40 4.04
78 60 3.14
78 80 3.88
78 100 2.07
78 120 0.27
78 140 0.05
99 1 8.57
99 20 8.17
99 40 7.12
99 60 4.56
99 80 2.53
99 100 0.87
99 120 0.24
99 140 0.06
126 1 2.62
126 20 4.93
126 40 5.61
126 60 3.93
126 80 2.74
126 100 1.98
126 120 0.56
126 140 0.08
162 1 2.56
162 20 7.13
162 40 6.49
162 60 5.8
162 80 6.97
162 100 1.33
162 120 0.1
162 140 0.01
196 1 2.75
196 20 4.64
196 40 4.43
196 60 4.56
196 80 5.96
196 100 2.46
196 120 0.62
196 140 0.15
224 1 4.91
224 20 3.72
224 40 3.05
224 60 3.07
224 80 2.25
224 100 1.3
224 120 0.86
224 140 0.28
252 1 3.9
252 20 4.61
252 40 3.38
252 80 2.78
252 100 2.45
252 120 0.53
280 1 3.92
280 20 0.99
280 40 3.79
280 60 3.35
280 80 2.65
280 100 1.79
280 120 0.61
280 140 0.17
316 1 4.85
316 20 2.71
316 40 3.76
316 60 4.75
316 80 2.44
316 100 0.51
316 120 0.2
316 140 0.07
343 1 10.81
343 20 10.37
343 40 6.45
343 60 2.73
343 80 0.85
343 100 0.29
343 120 0.11
343 140 0.03
13 1 4.76
13 20 4.45
13 40 3.8
13 60 2.55
13 80 0.8
13 100 0.5
13 120 0.13
13 140 0.02
43 1 11.8
43 20 12.62
43 40 8.77
43 60 3.82
43 80 1.2
43 100 0.21
43 120 0.08
43 140 0.12
71 1 12.55
71 20 6.77
71 40 8.78
71 60 3.03
71 80 0.47
71 100 0.31
71 120 0.08
71 140 0.04
84 1 5.05
84 20 6.84
84 40 4.1
84 60 3.45
84 80 1.18
84 100 0.13
84 120 0.16
84 140 0.09
97 1 3.88
97 20 0.49
97 40 2.66
97 60 3.59
97 80 1.37
97 100 0.89
97 120 0.13
97 140 0.1
125 1 4.2
125 20 3.55
125 40 0.18
125 60 2.3
125 80 1.61
125 100 0.21
125 120 0.04
153 1 5.43
153 20 4.94
153 40 4.36
153 60 4.01
153 80 3.18
153 100 0.85
153 120 0.11
188 1 0.74
188 20 5.94
188 40 4.66
188 60 4.24
188 80 5.4
188 100 2.04
188 120 0.29
188 140 0.04
223 1 4.16
223 20 2.72
223 40 3.59
223 60 1.77
223 80 0.21
223 100 0.08
223 120 0.03
253 1 3.58
253 20 4.43
253 40 4.26
253 60 5.12
253 80 6.23
253 100 0.78
253 120 0.07
253 140 0.05
295 1 3.21
295 20 4.36
295 40 3.33
295 60 3.61
295 80 2.98
295 100 0.44
295 120 0.11
295 140 0.02
321 1 5.06
321 20 4.31
321 40 2.23
321 60 1.7
321 80 0.98
321 100 0.59
321 120 0.26
321 140 0.05
342 1 4.53
342 20 2.01
342 40 2.45
342 60 2.17
342 80 2.34
342 100 0.79
342 120 0.17
342 140 0.07
15 1 5.1
15 20 4
15 40 4.2
15 60 3.11
15 80 1.49
15 100 0.46
15 120 0.25
15 140 0.02
27 1 5.89
27 20 5.73
27 40 4.55
27 60 2.51
27 80 1.26
27 100 0.37
27 120 0.5
27 140 0.1
43 1 10.45
43 20 10.6
43 40 7.97
43 60 2.79
43 80 0.38
43 100 0
43 140 0.01
55 1 15.24
55 20 13.09
55 40 7.45
55 60 2.77
55 80 1.19
55 100 0.4
55 120 0.18
82 1 8.56
82 20 9.47
82 40 5.91
82 60 1.57
82 80 0.36
82 100 0.05
82 120 0.05
82 140 0.01
97 1 10.97
97 20 16.21
97 40 7.95
97 60 3.05
97 80 1.11
97 100 0.36
97 120 0.1
97 140 0.01
124 1 5.63
124 20 3.89
124 40 3.65
124 60 3.26
124 80 5.89
124 100 1.77
124 120 0.41
124 140 0.15
152 1 4.97
152 20 2.75
152 40 4.48
152 60 5.39
152 80 3.24
152 100 2.47
152 120 0.51
152 140 0.09
187 1 5.63
187 20 0.17
187 40 4.05
187 60 4.5
187 80 6.26
187 100 4.42
187 120 1.94
187 140 0.18
215 1 6.26
215 20 6.3
215 40 5.1
215 60 5.92
215 80 4.92
215 100 3.25
215 120 1.35
215 140 0.58
258 1 3.85
258 20 4.45
258 40 2.44
258 60 3.22
258 80 2.57
258 100 2.47
258 120 1.05
258 140 0.29
285 1 5.18
285 20 4.98
285 40 3.93
285 60 4.41
285 80 4.3
285 100 2.14
285 120 0.56
285 140 0.12
314 1 5.87
314 20 5.38
314 40 4.7
314 60 3.4
314 80 2.82
314 100 1.91
314 120 0.57
314 140 0.2
343 1 3.84
343 20 3.85
343 40 3.42
343 60 2.36
343 80 1.14
343 100 0.78
343 120 0.31
343 140 0.07
29 1 5.96
29 20 6.76
29 40 4.25
29 60 2.07
29 80 1.26
29 100 0.41
29 120 0.09
29 140 0
46 1 8.76
46 20 10.4
46 40 5.71
46 60 2.51
46 80 0.61
46 100 0.19
46 120 0.07
46 140 0
74 1 16.94
74 20 10.51
74 40 10.74
74 60 4.55
74 80 1.44
74 100 0.49
74 120 0.24
102 1 7.74
102 20 9.52
102 40 5.56
102 60 3.43
102 80 1.03
102 100 0.29
102 120 0.08
102 140 0
131 1 5.8
131 20 4.2
131 40 4.63
131 60 5.15
131 80 6.18
131 100 1.73
131 120 0.35
131 140 0.07
158 1 4.8
158 20 4.28
158 40 4.18
158 60 4.02
158 80 3.51
158 100 2.42
158 120 1.53
158 140 0.3
193 1 6.17
193 20 6.5
193 40 5.69
193 60 4.97
193 80 4.72
193 100 2.92
193 120 0.59
193 140 0.08
221 1 6.13
221 20 5.28
221 40 4.7
221 60 4.97
221 80 7.88
221 100 3.82
221 120 0.43
221 140 0.07
257 1 2.66
257 20 3.55
257 40 2.86
257 60 2.47
257 80 2.42
257 100 1.86
257 120 0.6
257 140 0.09
292 1 5.11
292 20 4.09
292 40 2.9
292 60 2.7
292 80 0.96
292 100 1.46
292 120 0.63
292 140 0.31
316 1 4.79
316 20 4.01
316 40 3.58
316 60 0.82
316 80 1.64
316 100 0.76
316 120 0.44
316 140 0.14
347 1 5.05
347 20 5.35
347 40 4.72
347 60 3.14
347 80 1.59
347 100 1.08
347 120 0.46
347 140 0.09
30 1 9.18
30 20 10.24
30 40 6.42
30 60 3.26
30 80 1.99
30 100 0.69
30 120 0.12
51 20 2.35
51 40 11.77
51 60 5.97
51 80 2.55
51 100 1
51 120 0.05
51 140 0.08
79 1 2.92
79 20 10.02
79 40 5.99
79 60 3.8
79 80 1.7
79 100 0.67
79 120 0.28
79 140 0.13
108 1 2.09
108 20 1.17
108 40 3.57
108 60 2.45
108 80 0.89
108 100 1.2
108 120 0.32
108 140 0.03
135 1 3.72
135 20 10.47
135 40 1.88
135 60 6.49
135 80 4.72
135 100 1.37
135 120 0.62
135 140 0.4
156 1 2.53
156 20 4.53
156 40 6.02
156 60 6.55
156 80 4.06
156 100 3.34
156 120 1.63
156 140 1.8
199 1 7.58
199 20 2.68
199 40 6.29
199 60 5.04
199 80 3.79
199 100 2.96
199 120 0.68
199 140 0.19
219 1 4.84
219 20 3.85
219 40 4.23
219 60 4.85
219 80 3.76
