"DOY" "Depth" "SIZE10" "SIZE3" "SIZE1" "SIZE_L1"
118 29.9 0.127272727272727 0.0909090909090909 0.363636363636364 0.418181818181818
118 5.1 0.131578947368421 0.105263157894737 0.263157894736842 0.5
118 20.2 0.12280701754386 0.157894736842105 0.385964912280702 0.333333333333333
118 69.1 0.138461538461538 0.184615384615385 0.446153846153846 0.230769230769231
118 84.8 0.175 0.125 0.475 0.225
118 100.9 0.107142857142857 0.107142857142857 0.678571428571428 0.107142857142857
118 125 0.2 0.1 0.6 0.1
118 5 0.108695652173913 0.108695652173913 0.369565217391304 0.41304347826087
118 9.7 0.130434782608696 0.108695652173913 0.41304347826087 0.347826086956522
118 25.3 0.113207547169811 0.0943396226415094 0.490566037735849 0.30188679245283
118 29.9 0.142857142857143 0.122448979591837 0.36734693877551 0.36734693877551
118 35 0.166666666666667 0.145833333333333 0.395833333333333 0.291666666666667
118 39.8 0.12 0.14 0.44 0.3
118 55.1 0.102040816326531 0.122448979591837 0.489795918367347 0.285714285714286
208 70.1 0.180555555555556 0.0972222222222222 0.333333333333333 0.388888888888889
208 45 0.133333333333333 0.2 0.4 0.266666666666667
208 6.1 0.111111111111111 0.111111111111111 0.333333333333333 0.444444444444444
208 15.3 0.2 0.2 0.2 0.4
208 36.5 0.111111111111111 0.222222222222222 0.333333333333333 0.333333333333333
208 80.7 0.130434782608696 0.108695652173913 0.326086956521739 0.434782608695652
208 100.8 0.135135135135135 0.0810810810810811 0.378378378378378 0.405405405405405
208 130.4 0.0714285714285714 0.142857142857143 0.428571428571428 0.357142857142857
208 150.3 0.166666666666667 0.166666666666667 0.5 0.166666666666667
208 5.9 0 0.2 0.2 0.6
208 20.3 0.142857142857143 0.142857142857143 0.285714285714286 0.428571428571428
208 44.6 0.0909090909090909 0.181818181818182 0.272727272727273 0.454545454545455
208 55.9 0.0714285714285714 0.142857142857143 0.285714285714286 0.5
208 65.4 0.111111111111111 0.0555555555555556 0.333333333333333 0.5
208 70.5 0.131578947368421 0.0789473684210526 0.342105263157895 0.447368421052632
208 85.4 0.113207547169811 0.0754716981132075 0.415094339622641 0.39622641509434
205 19.6 0.166666666666667 0.166666666666667 0.333333333333333 0.333333333333333
205 41.4 0.222222222222222 0.111111111111111 0.222222222222222 0.444444444444444
205 85.5 0.0677966101694915 0.101694915254237 0.35593220338983 0.474576271186441
205 105.6 0.161290322580645 0.064516129032258 0.32258064516129 0.451612903225806
205 124.9 0.2 0.1 0.35 0.35
205 139.9 0.125 0.125 0.5 0.25
205 6.4 0.166666666666667 0.166666666666667 0.166666666666667 0.5
205 24.6 0 0.142857142857143 0.285714285714286 0.571428571428571
205 47.6 0.0833333333333333 0.0833333333333333 0.25 0.583333333333333
205 60 0.0666666666666667 0.133333333333333 0.266666666666667 0.533333333333333
205 70.1 0.0666666666666667 0.133333333333333 0.266666666666667 0.533333333333333
205 77.9 0.0555555555555556 0.111111111111111 0.25 0.583333333333333
205 94.1 0.15 0.125 0.275 0.45
179 26.8 0 0.0909090909090909 0.181818181818182 0.727272727272727
179 48.1 0.0625 0.125 0.1875 0.625
179 76.2 0.0612244897959184 0.102040816326531 0.326530612244898 0.510204081632653
179 90.5 0.0526315789473684 0.157894736842105 0.368421052631579 0.421052631578947
179 107.5 0.166666666666667 0.166666666666667 0.5 0.166666666666667
179 3.8 0 0.111111111111111 0.444444444444444 0.444444444444444
179 11.8 0 0.125 0.375 0.5
179 33 0 0.181818181818182 0.363636363636364 0.454545454545455
179 40 0.0833333333333333 0.166666666666667 0.25 0.5
179 53 0.0625 0.125 0.0625 0.75
179 57.2 0.037037037037037 0.148148148148148 0.259259259259259 0.555555555555555
179 66.6 0.0576923076923077 0.134615384615385 0.288461538461538 0.519230769230769
182 31.1 0.0833333333333333 0.166666666666667 0.166666666666667 0.583333333333333
182 50 0.0588235294117647 0.117647058823529 0.352941176470588 0.470588235294118
182 84.7 0.0689655172413793 0.103448275862069 0.448275862068966 0.379310344827586
