"DOY" "Depth" "PRO"
50 125 0.33
77 5 2.358
77 25 2.76
77 45 2.862
77 75 2.09
77 100 0.756
77 125 0.361
77 150 0.168
77 175 0.109
105 5 1.369
105 25 1.487
105 45 1.625
105 75 1.562
105 100 0.745
105 125 0.401
105 150 0.198
133 5 1.385
133 25 1.762
133 45 2.026
133 75 1.776
133 100 1.468
133 125 0.739
133 150 0.196
133 175 0.109
168 5 1.031
168 25 1.623
168 45 1.52
168 75 2.385
168 100 2.264
168 125 0.834
168 150 0.245
168 175 0.066
196 5 2.066
196 25 2.078
196 45 2.099
196 75 2.967
196 100 1.622
196 125 0.677
196 150 0.222
196 175 0.048
222 5 1.91
222 25 2.046
222 45 2.54
222 75 2.449
222 100 0.909
222 125 0.512
222 150 0.253
222 175 0.276
271 5 1.621
271 25 2.02
271 45 1.843
271 75 2.942
271 100 2.888
271 125 1.058
271 150 0.208
271 175 0.076
292 5.7 2.366
292 25.1 2.469
292 45.5 3.426
292 75.4 2.983
292 100.3 1.947
292 125.4 0.661
292 150 0.217
292 175.3 0.242
292 5 2.268
292 25 2.325
292 45 2.066
292 75 2.99
292 100 1.208
292 125 0.573
292 150 0.3
292 175 0.201
315 5 2.435
315 24.6 2.521
315 43.9 2.447
315 75.2 2.831
315 100.2 1.011
315 125.1 0.281
315 149.7 0.124
315 175.4 0.372
315 5 1.889
315 25 1.682
315 45 1.779
315 75 1.888
315 100 0.385
315 125 0.223
315 150 0.091
343 5 2.254
343 25 2.282
343 45 2.239
343 75 1.457
343 100 1.047
343 125 0.296
13 4.4 2.767
13 25.7 3.181
13 46.2 2.846
13 75.9 2.816
13 100.6 2.785
13 125.4 0.254
13 150.2 0.128
13 175.6 0.033
13 5 1.613
13 25 1.787
13 45 1.738
13 75 1.74
13 100 1.419
13 125 0.194
13 150 0.08
49 5 1.737
49 25 2.147
49 45 1.978
49 75 1.513
49 100 0.633
49 125 0.283
49 175 0.007
76 5 2.082
76 25 2.444
76 45 2.916
76 75 2.795
76 100 0.764
76 125 0.291
76 150 0.6
76 175 0.264
104 5 1.939
104 25 1.926
104 45 2.009
104 75 1.927
104 100 1.729
104 125 0.963
104 150 0.544
130 5 1.552
130 25 1.576
130 45 1.804
130 75 2.148
130 100 1.621
130 125 1.74
195 5 1.725
195 25 1.501
195 45 1.018
195 75 2.267
195 100 1.6
195 125 0.569
195 150 0.285
195 175 0.194
226 5 1.489
226 25 1.459
226 45 1.811
226 75 1.549
226 100 1.075
226 125 0.118
226 150 0.134
288 5 1.875
288 25 1.912
288 45 2.056
288 75 2.354
288 100 0.82
288 125 0.309
288 150 0.408
313 5 2.227
313 25 2.015
313 45 2.132
313 75 2.265
313 100 1.963
313 125 0.433
313 150 0.189
349 5 2.821
349 25 2.421
349 45 2.53
349 75 2.209
349 100 0.564
349 125 0.508
349 150 0.107
349 175 0.391
34 5 1.328
34 25 1.631
34 45 1.69
34 75 2.111
34 100 1.379
34 125 0.406
34 150 0.285
34 175 0.016
61 5 1.735
61 25 1.745
61 45 1.855
61 75 2.249
61 100 1.44
61 125 0.482
61 150 0.085
61 175 0.027
89 5 2.458
89 25 2.544
89 45 2.453
89 75 3.015
89 100 2.436
89 125 1.089
89 150 0.608
89 175 0.197
117 5 1.122
117 25 1.282
117 45 1.774
117 75 1.919
117 100 1.09
117 125 0.374
117 150 0.323
117 175 0.226
146 5.2 1.271
146 24.7 1.058
146 45 1.432
146 74.5 3.063
146 99.1 2.527
146 125.1 1.469
146 150.3 0.495
146 175.3 0.138
173 5 1.692
173 24.6 3.057
173 45.4 2.144
173 75.6 2.154
173 99.7 1.489
173 45 1.958
208 4.6 2.243
208 24.8 2.251
208 44.3 2.456
208 74.2 2.515
208 100 1.452
208 25 1.92
208 45 2.425
236 4.9 1.959
236 25 1.96
236 44.9 1.926
236 74.1 1.12
236 98.8 0.7
236 125.1 0.292
236 149.5 0.088
236 177.1 0.01
236 25 1.645
236 45 1.623
292 4.6 1.174
292 4.6 1.031
292 4.7 1.077
292 24.9 1.333
292 24.9 1.063
292 24.9 1.066
292 45 1.222
292 45 1.345
292 45 1.33
292 74.3 1.472
292 74.2 1.827
292 74.1 1.766
292 98.9 0.373
292 98.9 0.424
292 98.9 0.398
292 125.4 0.083
292 125.4 0.09
292 125.3 0.087
292 147.9 0.03
292 176.2 0.003
335 4.8 0.996
335 4.7 0.703
335 4.7 0.768
335 25.2 0.708
335 25.1 0.782
335 25.1 0.809
335 45 1.231
335 45 1.28
335 44.9 1.157
335 74.3 0.924
335 74.2 0.808
335 74.4 1.007
335 98.8 0.356
335 99.2 0.351
335 99.1 0.324
335 123.7 0.132
335 123.8 0.127
335 123.9 0.125
335 149 0.05
335 171.8 0.025
355 5.2 0.445
355 5.2 0.429
355 5 0.449
355 43.2 0.154
355 43.1 0.38
355 73.4 1.074
355 73.6 0.995
355 73.7 1.012
355 101.4 1.241
355 101 1.222
355 100.4 1.209
355 121 0.318
355 121.1 0.274
355 122.2 0.269
355 150.4 0.074
355 174.5 0.026
17 3.8 0.327
17 23.5 0.324
17 44 0.358
17 73.3 0.993
17 99.7 0.654
17 123.6 0.115
17 148 0.062
17 174.8 0.02
81 3.9 1.071
81 23.8 1.2
81 44 1.764
81 75.7 1.678
81 98.9 1.661
81 123.7 1.137
81 148.4 0.41
81 173.7 0.024
108 3.9 1.087
108 23.6 1.014
108 43.3 1.186
108 73.8 1.55
108 98.7 1.813
108 123.4 0.736
108 148.7 0.277
108 173 0.098
137 4.8 0.837
137 24.7 0.83
137 44.8 0.599
137 74.5 0.873
137 98.8 1.077
137 124.1 0.524
137 150.3 0.221
137 176.9 0.062
165 4 1.604
165 23.5 1.42
165 44.1 2.009
165 73.4 2.413
165 99.3 1.706
165 122.6 0.614
165 148.7 0.308
165 173.7 0.143
192 4.3 0.099
192 23.7 0.299
192 44.9 0.584
192 73.8 1.797
192 100.3 0.804
192 124 0.363
192 148.7 0.136
192 175.1 0.036
220 4.7 0.353
220 24.9 0.442
220 44.7 0.322
220 76 1.285
220 99.1 0.804
220 124.9 0.265
220 149 0.049
220 176.4 0.011
275 4.8 0.388
275 25.8 0.488
275 45.2 0.376
275 74.1 1.543
275 100.9 1.142
275 124.6 0.523
275 149.8 0.159
275 175.3 0.033
296 4.8 0.979
296 24.6 1.098
296 45.2 1.082
296 75.3 1.561
296 100.3 0.414
296 124.7 0.179
296 150.4 0.1
296 174.5 0.013
321 4.2 0.578
321 24.4 0.676
321 44.2 0.734
321 74.5 2.029
321 99.4 0.38
321 124.5 0.155
321 148.5 0.015
349 4.2 1.569
349 24.1 1.673
349 43.6 1.606
349 57.8 1.586
349 75.5 1.567
349 84.1 1.268
349 98.1 0.747
349 114.6 0.404
349 123.8 0.211
349 134.4 0.095
349 150.6 0.034
349 174.3 0.008
16 4.4 1.096
16 23.6 1.468
16 44.5 1.213
16 74.1 0.986
16 98.8 1.215
16 124.4 0.272
16 150.3 0.031
16 176.3 0.011
52 4 0.979
52 24.3 1.004
52 44.7 0.973
52 74 1.3
52 100.7 0.475
52 125.6 0.107
52 148.6 0.029
52 177.9 0.033
72 4.1 0.729
72 24.2 0.855
72 44 0.906
72 74.5 1.541
72 98.1 2.401
72 123.7 0.9
72 150.5 0.375
72 174.4 0.232
141 4.1 0.783
141 24 0.957
141 43.5 1.043
141 73.6 1.288
141 99 1.371
141 124.1 0.669
141 149.2 0.326
141 175.8 0.074
181 4 0.113
181 24.2 0.237
181 44.3 0.351
181 74.6 1.383
181 100.3 0.854
181 124.2 0.39
181 148.7 0.119
181 174.7 0.029
240 4.3 0.785
240 25.1 0.751
240 45 1.308
240 75.7 2.104
240 100.7 1.315
240 123.9 0.897
240 150.8 0.339
240 175.7 0.089
308 4.7 0.936
308 25 0.881
308 45.1 0.914
308 45.2 0.827
308 75.4 1.898
308 99.5 1.25
308 126.2 0.346
308 149.5 0.108
308 175.3 0.009
329 4.9 0.731
329 25.3 0.847
329 44.5 1.058
329 74.9 1.511
329 100.7 0.652
329 126.4 0.196
329 150.9 0.069
329 175.2 0.009
353 3.5 1.034
353 25 1.037
353 45.5 1.279
353 75.7 1.122
353 99.1 0.662
353 125.3 0.232
353 151.5 0.046
353 173.2 0.018
17 4.1 1.427
17 24.4 1.582
17 45 1.477
17 74.4 1.497
17 99.7 1.433
17 124.8 0.389
17 150.3 0.123
17 175.2 0.009
57 4.2 1.147
57 24 1.534
57 45.5 1.319
57 74.2 1.758
57 99.2 2.025
57 126.6 0.802
57 152.8 0.358
57 172.6 0.1
88 9.6 0.955
88 24.6 0.838
88 45.2 1.661
88 74.1 2.192
88 101.5 1.791
88 125.5 0.58
88 151.7 0.172
88 174.9 0.009
114 4.3 0.881
114 23.8 1.128
114 44.5 0.894
114 74.5 1.714
114 99.2 2.208
114 124.6 0.838
114 148.8 0.409
114 177.2 0.124
141 5 0.417
141 24.4 0.429
141 44.6 0.62
141 74.4 1.509
141 100.3 1.326
141 123.9 0.58
141 149.9 0.119
141 175 0.013
171 4.7 0.48
171 23.4 0.792
171 44.6 0.651
171 74.4 1.487
171 99.2 1.483
171 124.3 0.505
171 148.6 0.17
171 176.1 0.024
201 4.9 0.229
201 24.2 0.203
201 45.5 0.165
201 75.1 0.665
201 99.9 1.832
201 125.2 0.828
201 149.8 0.286
201 175.4 0.052
233 5.5 0.309
233 25.7 0.34
233 44.1 0.402
233 74 1.107
233 101 1.488
233 129.6 0.424
233 147.8 0.194
233 173.9 0.057
288 4.5 0.52
288 26.9 0.543
288 45 0.521
