"DOY" "Depth" "Data"
19 173.7 0.142372881355932
50 5.5 0.137053571428571
50 25.2 0.148815165876777
50 44.8 0.151030927835052
50 69.8 0.143915343915344
50 74.8 0.151813471502591
50 100.1 0.145977011494253
50 126.3 0.156551724137931
50 149.8 0.187037037037037
50 176.1 0.0945945945945946
78 5.6 0.147826086956522
78 25.4 0.143076923076923
78 45.6 0.140932642487047
78 75.3 0.148815165876777
78 100.6 0.158522727272727
78 126.2 0.165384615384615
78 140.8 0.155414012738853
78 147.1 0.168548387096774
78 175.7 0.15531914893617
170 25.5 0.115217391304348
170 46.3 0.113080168776371
170 49.2 0.120967741935484
170 75 0.115849056603774
170 113.9 0.113414634146341
170 132.9 0.12448132780083
170 150.5 0.109774436090226
170 175.8 0.114285714285714
170 249.5 0.102247191011236
200 4.8 0.0852417302798982
200 25.3 0.114772727272727
200 46 0.130872483221477
200 75.2 0.141350210970464
200 90.3 0.145531914893617
200 100.5 0.163775510204082
200 110.7 0.167914438502674
200 125.6 0.166279069767442
200 150.7 0.168965517241379
200 174.5 0.132
231 4.7 0.141916167664671
231 25.2 0.169117647058824
231 44.5 0.165402843601896
231 75.2 0.161596958174905
231 94.2 0.169369369369369
231 100.4 0.180337078651685
231 104.7 0.18021978021978
231 109.7 0.186627906976744
231 114.8 0.176666666666667
231 125 0.206086956521739
231 149.8 0.2
231 174.8 0.178378378378378
231 249.6 0.182
231 5.5 0.155825242718447
231 24.7 0.144621513944223
231 45.4 0.141584158415842
231 76.1 0.138983050847458
231 101.5 0.148514851485149
231 125.6 0.160606060606061
231 151.1 0.156756756756757
231 178.5 0.171764705882353
262 5.5 0.161025641025641
262 24.7 0.148623853211009
262 45.6 0.150900900900901
262 75.1 0.154716981132075
262 99.5 0.150526315789474
262 109.9 0.161290322580645
262 114.5 0.162433862433862
262 119.6 0.161855670103093
262 125 0.168235294117647
262 129.6 0.154901960784314
262 150.5 0.164044943820225
262 175.5 0.17
292 5 0.15632183908046
292 25.6 0.1445
292 45.2 0.136683417085427
292 75.3 0.149253731343284
292 100.1 0.168333333333333
292 105.2 0.181012658227848
292 109.3 0.199248120300752
292 115.9 0.207438016528926
292 120.2 0.215
292 125.1 0.181102362204724
292 149.8 0.16969696969697
292 174.9 0.171929824561404
323 5.6 0.155944055944056
323 25.4 0.13
323 45.3 0.155026455026455
323 76.2 0.158378378378378
323 93.8 0.160135135135135
323 110.8 0.173228346456693
323 127.6 0.20253164556962
323 152.9 0.159090909090909
323 183 0.144827586206897
79 4.8 0.132515337423313
79 25.2 0.130379746835443
79 46 0.149350649350649
79 74.9 0.141258741258741
79 102.9 0.152554744525547
79 127.3 0.148314606741573
79 147.1 0.166666666666667
79 173.8 0.154
