"DOY" "Depth" "DOC"
71 59.9 98.05
71 75.2 95.12
71 85.5 89.75
71 95 90.04
71 105 89.4
71 115.4 88.28
71 124.2 85.3
71 134.9 85.55
71 150.2 86.72
71 174.6 83.61
99 5.1 94.44
99 15.2 94.74
99 25.4 88.68
99 34.9 89.85
99 44.3 93.27
99 60.1 92.09
99 75 94.53
99 85.1 91.31
99 95 96.59
99 105.1 89.56
99 115.1 90.44
99 125 83.41
99 134.8 87.8
99 149.9 83.02
99 175.1 80
127 4.2 94.94
127 14.7 99.53
127 25 98.55
127 34.6 96.89
127 45.3 93.96
127 59.9 91.91
127 74.6 94.84
127 85 91.32
127 95.1 88
127 104.5 87.46
127 115.3 86.24
127 124.6 79.99
127 134.4 73.15
127 149.1 71.88
127 174.1 70.7
127 199.8 69.83
155 5.2 104.8
155 15.3 101.38
155 24.7 106.95
155 35.2 102.07
155 45.6 93.47
155 60.6 92.39
155 75.4 88.88
155 85.1 88.98
155 94.9 89.26
155 104.6 87.36
155 114.6 85.75
155 124.6 82.42
155 134.8 78.81
155 149.3 77.15
155 175 78.81
155 199.9 80.38
190 5.1 123.15
190 14.8 118.07
190 24.4 118.17
190 35.8 112.11
190 45.3 108.94
190 59.4 110.06
190 75.3 103.13
190 84 102.06
190 94.3 96.98
190 104.3 96.88
190 115 90.04
190 124.3 84.52
190 134.5 80.37
190 150.1 74.12
190 174.2 74.71
214 4.6 102.15
214 14.3 99.12
214 24.9 94.33
214 43.9 90.52
214 59.9 87.79
214 85.1 83.89
214 101.7 78.86
214 124.7 72.85
214 149.5 69.92
214 175 69.83
214 199.6 73.25
268 4.5 92.76
268 14 101.65
268 25.2 98.33
268 44.7 101.85
268 75.5 92.19
268 104.6 103.23
268 114.1 96.58
268 125 90.14
268 149.6 87.4
268 174.3 83.89
268 198.4 78.32
339 5.3 96.09
339 14.6 90.13
339 25.3 92.77
339 33.2 87.2
339 43.6 85.93
339 59.4 87.4
339 73.8 86.62
339 84.5 84.18
339 95.3 80.86
339 106.7 79.63
339 115.2 70.41
339 124.5 68.55
339 134 68.85
339 148.7 69.73
339 159.4 64.84
339 173.6 63.29
339 185.2 75.1
11 4.6 104.1
11 14.7 101.95
11 24.6 102.04
11 34.6 101.65
11 43.6 98.19
11 59.1 97.25
11 75.3 92.37
11 84.9 94.13
11 94.8 93.64
11 104.3 87.93
11 114.7 84.67
11 124.4 84.42
11 134.7 80.77
11 149.4 81.65
11 173.6 74.24
50 5.1 107.31
50 13.8 108
50 24.5 103.11
50 34.9 94.13
50 44.6 90.76
50 59.5 88.95
50 74 85.73
50 84.6 85.15
50 94.5 87.79
50 105.2 84.86
50 116.1 82.52
50 125.8 77.69
50 135 70.8
50 149 73.34
50 174.2 68.47
50 199.8 65.54
77 4.1 108
77 14.8 99.12
77 25.7 103.02
77 34.9 103.02
77 44.9 98.97
77 59.7 96.09
77 74.6 94.72
77 85 90.13
77 94.5 94.91
77 105.1 93.55
77 114.7 96.57
77 124.6 90.81
77 134.1 85.73
77 149.3 85.54
77 174.8 85.85
105 5.1 102.33
105 14.1 102.33
105 25.1 97.26
105 34.1 95.89
105 45.5 91.06
105 60.3 87.3
105 74.3 82.8
105 84.6 82.71
105 94.1 77.63
105 104.3 77.24
105 114.2 77.43
105 124.9 73.67
105 148.8 70.5
105 177.1 70.01
133 4.4 101.16
133 14.8 97.54
133 24.9 95.69
133 35.1 93.34
133 44.7 88.22
133 59.8 83.87
133 74.6 82.11
133 85.8 78.4
133 94.7 77.14
133 104.8 75.87
133 115.4 71.28
133 125.2 70.55
133 134.1 62.98
133 151 55.47
133 174.8 59.47
168 5.6 102.13
168 14.9 97.64
168 25.3 98.42
168 35.7 95.98
168 45.9 96.57
168 60.4 93.44
168 74.7 92.86
168 84.9 86.71
168 95.1 84.16
168 105.4 79.28
168 115.9 77.33
168 125.8 77.92
168 135.5 72.65
168 150.4 68.94
168 175.4 66.5
196 5.6 96.46
196 14.5 95.78
196 25.3 96.07
196 45.2 88.51
196 75.6 86.91
196 105.4 81.58
196 114.9 76.94
196 125.4 73.87
196 135.6 66.21
196 150.8 60.06
196 174.5 60.06
222 5.3 102.34
222 15.1 103.8
222 25.8 100.48
222 46.1 98.78
222 75.1 97.26
222 105.6 94.82
222 114.7 93.94
222 125.4 88.28
222 136.3 84.57
222 150.2 83.3
222 176 80.67
222 199.7 79.6
271 5 108.38
271 15.8 108.77
271 25.9 104.48
271 45.7 101.74
271 75 105.75
271 105.5 96.13
271 115.5 93.06
271 125.7 91.84
271 135.3 78.8
271 149.9 77.53
271 175.5 71.38
292 4.8 102.13
292 14.9 98.71
292 25.4 94.51
292 45.1 94.07
292 74.8 88.56
292 105.2 87.1
292 115 79.68
292 125.7 80.12
292 134.9 79.39
292 149.9 78.32
292 175.2 75.88
315 5.5 97.63
315 15.6 101.63
315 25.7 101.83
315 35.6 99.78
315 45.7 96.07
315 60.4 88.26
315 75.7 83.67
315 85.6 81.72
315 95.5 80.46
315 105.3 80.9
315 115.5 81.73
315 125.5 80.32
315 135.4 73.53
315 150.7 76.76
315 175.4 72.57
343 5.9 95.88
343 25.7 96.18
343 45.8 92.76
343 75.6 92.66
343 105.6 94.52
343 136.7 90.62
343 150.9 89.35
343 175.5 82.51
13 5.2 109.36
13 15 97.65
13 24.9 98.13
13 44.9 99.31
13 74.6 93.84
13 105.4 92.37
13 114.4 85.34
13 125.6 82.17
13 133.6 84.76
13 150 82.81
13 175.6 81.15
13 199.7 77.05
49 5.1 116.19
49 16.1 109.16
49 26.1 99.88
49 45.5 90.41
49 76.1 86.8
49 105.6 81.62
49 115.9 78.01
49 126 75.71
49 135.5 73.71
49 150.8 77.44
49 175.6 72.37
76 5.3 89.15
76 15.7 94.72
76 25.7 94.72
76 45.4 93.45
76 85.8 92.07
76 105.5 90.02
76 115.1 87.38
76 125.6 79.87
76 135.8 87.38
76 150.6 88.95
76 176.3 86.23
104 5.3 100.08
104 179.9 76.54
104 4.7 98.03
104 14.9 92.76
104 25.1 92.27
104 45.3 87
104 75.1 79.38
104 104.2 80.5
104 114.2 81.23
104 124 86.85
104 135.6 84.36
104 149.4 80.84
104 174.5 81.03
104 199.1 73.42
130 5.3 98.71
130 15.1 95.49
130 24.6 95.49
130 44.8 93.59
130 75.7 87.78
130 104.6 90.65
130 114.7 96.56
130 124.9 93.44
130 135.2 89.54
130 150.1 86.24
130 177.2 83.91
130 197.8 79.91
195 4.3 106.26
195 14.6 102.26
195 24.7 95.52
195 44.4 90.34
195 73.9 86.92
195 104.6 90.67
195 113.8 92.38
195 124.2 90.81
195 134.3 88.27
195 149.5 83.38
195 174.2 79.47
226 4.6 91.2
226 14 94.91
226 25 93.74
226 44.4 92.18
226 75 90.04
226 104.7 87.6
226 114.6 84.48
226 124.5 82.76
226 134.6 83.7
226 149.7 82.92
226 174.6 82.63
288 5 99.6
288 15.1 101.46
288 24.6 100.49
288 44.2 93.5
288 74.1 94.43
288 105.3 95.11
288 114.5 91.1
288 123.8 86.85
288 134.2 85.24
288 149.7 82.61
288 174.9 80.17
288 200 76.46
313 5.3 91.88
313 14.9 89.93
313 25.3 90.41
313 45.1 88.12
313 74.9 86.81
313 104.1 82.75
313 114.5 79.19
313 124.4 78.26
313 135 73.63
313 174.7 72.17
313 199.5 69.15
349 4.6 102.82
349 14.9 100.09
349 24.3 96.77
349 44.8 92.62
349 74.5 92.28
349 104.6 88.23
349 114.3 93.26
349 124.8 92.77
349 135.3 88.86
349 149.6 84.95
349 174.6 84.77
34 4.4 104.47
34 14.3 102.23
34 24.6 98.91
34 44.7 88.94
34 74.7 84.55
34 104.5 82.7
34 124.3 80.46
34 150.1 73.73
34 175.2 74.91
61 4.5 109.85
61 15.3 108.39
61 25.1 96.28
61 59.4 93.55
61 75.6 91.68
61 105.5 90.27
61 113.8 85.54
61 124 82.76
61 135 78.6
61 148.6 84.85
61 174.5 79.78
89 4.2 100.76
89 100.2 93.63
89 4.6 102.91
89 14.3 103.69
89 23.5 101.35
89 44.7 100.86
89 74.2 95.29
89 103.9 94.7
89 115.1 95.78
89 125.2 92.85
89 134 86.7
89 149.3 84.56
89 174.8 85.34
117 4.9 96.01
117 14.9 90.93
117 25 89.66
117 44.7 86.82
117 75 86.13
117 104 81.73
117 114.2 80.75
117 124.6 78.4
117 134.7 73.23
117 149.3 72.06
117 174.2 66.9
145 4.9 105.19
145 15.1 101.28
145 25.1 97.08
145 45.3 91.56
145 74.1 87.1
145 104.2 84.41
145 114 83.38
145 124.2 79.53
145 134.3 74.2
145 150.2 72.84
145 175.1 69.13
145 199.4 68.35
173 4.6 98.33
173 14.4 96.57
173 24.7 92.47
173 44.4 92.38
173 74.8 88.36
173 104.1 87.68
173 115 81.33
173 124.9 80.6
173 134.4 79.38
173 149.8 79.97
173 174.5 75.19
208 14.4 77.14
208 23.4 83.97
208 45 75.18
208 75.1 71.27
208 114.1 68.35
208 124.4 76.16
208 134 65.42
