"DOY" "Depth" "EUK"
349 45 0.006
349 75 0.005
349 100 0.004
349 125 0.001
349 175 0.001
34 5 0.005
34 25 0.003
34 45 0.003
34 75 0.005
34 100 0.004
34 150 0.001
61 5 0.01
61 25 0.009
61 45 0.025
61 75 0.009
61 100 0.01
61 125 0.003
61 175 0.001
89 5 0.036
89 25 0.029
89 45 0.032
89 75 0.029
89 100 0.007
89 125 0.015
89 150 0.001
89 175 0.001
117 5 0.012
117 25 0.02
117 45 0.014
117 75 0.021
117 100 0.015
117 125 0.002
117 150 0.005
117 175 0.004
146 5.2 0.01
146 24.7 0.011
146 45 0.004
146 74.5 0.011
146 99.1 0.01
146 125.1 0.008
146 150.3 0.009
146 175.3 0.004
173 5 0.008
173 24.6 0.009
173 45.4 0.009
173 75.6 0.009
173 99.7 0.008
173 124.9 0.012
173 149.8 0.005
173 174.5 0.001
173 25 0.008
173 45 0.006
208 4.6 0.007
208 24.8 0.006
208 44.3 0.01
208 74.2 0.008
208 100 0.005
208 125.5 0.013
208 149.3 0.004
208 173.9 0.003
208 25 0.007
208 45 0.01
236 4.9 0.006
236 25 0.005
236 44.9 0.006
236 74.1 0.007
236 98.8 0.008
236 125.1 0.007
236 149.5 0.003
236 25 0.01
236 45 0.005
292 4.6 0.003
292 4.6 0.003
292 4.7 0.003
292 24.9 0.005
292 24.9 0.005
292 24.9 0.004
292 45 0.006
292 45 0.005
292 45 0.004
292 74.3 0.003
292 74.2 0.008
292 74.1 0.008
292 98.9 0.007
292 98.9 0.006
292 98.9 0.008
292 125.4 0.002
292 125.4 0.003
292 125.3 0.001
292 147.9 0.002
335 4.8 0.007
335 4.7 0.008
335 4.7 0.007
335 25.2 0.009
335 25.1 0.007
335 25.1 0.009
335 45 0.009
335 45 0.007
335 44.9 0.007
335 74.3 0.022
335 74.2 0.022
335 74.4 0.021
335 98.8 0.009
335 99.2 0.01
335 99.1 0.009
335 123.7 0.005
335 123.8 0.008
335 123.9 0.007
335 149 0.003
335 171.8 0.001
355 5.2 0.006
355 5.2 0.007
355 5 0.004
355 24.4 0.003
355 24.3 0.004
355 43.2 0.005
355 43.1 0.005
355 73.4 0.005
355 73.6 0.005
355 73.7 0.005
355 101.4 0.003
355 101 0.005
355 100.4 0.002
355 121 0.01
355 121.1 0.012
355 122.2 0.008
355 150.4 0.004
355 174.5 0.001
17 3.8 0.009
17 23.5 0.011
17 44 0.012
17 73.3 0.01
17 99.7 0.007
17 123.6 0.003
17 148 0.003
17 174.8 0.001
81 3.9 0.006
81 23.8 0.005
81 44 0.005
81 75.7 0.008
81 98.9 0.005
81 123.7 0.008
81 148.4 0.013
81 173.7 0.001
108 3.9 0.009
108 23.6 0.006
108 43.3 0.006
108 73.8 0.006
108 98.7 0.006
108 123.4 0.015
108 148.7 0.009
108 173 0.004
137 4.8 0.01
137 24.7 0.01
137 44.8 0.007
137 74.5 0.006
137 98.8 0.008
137 124.1 0.018
137 150.3 0.009
137 176.9 0.004
165 4 0.009
165 23.5 0.011
165 44.1 0.011
165 73.4 0.024
165 99.3 0.007
165 122.6 0.017
165 148.7 0.008
165 173.7 0.004
192 4.3 0.01
192 23.7 0.011
192 44.9 0.015
192 73.8 0.01
192 100.3 0.01
192 124 0.007
192 148.7 0.003
192 175.1 0.001
220 4.7 0.01
220 24.9 0.01
220 44.7 0.007
220 76 0.01
220 99.1 0.021
220 124.9 0.007
220 149 0.002
275 4.8 0.007
275 25.8 0.009
275 45.2 0.007
275 74.1 0.008
275 100.9 0.013
275 124.6 0.014
275 149.8 0.005
275 175.3 0.002
296 4.8 0.01
296 24.6 0.011
296 45.2 0.018
296 75.3 0.011
296 100.3 0.009
296 124.7 0.006
296 150.4 0.003
296 174.5 0.001
321 4.2 0.014
321 24.4 0.013
321 44.2 0.018
321 74.5 0.017
321 99.4 0.009
321 124.5 0.004
349 4.2 0.011
349 24.1 0.012
349 43.6 0.017
349 57.8 0.015
349 75.5 0.014
349 84.1 0.013
349 98.1 0.019
349 114.6 0.008
349 123.8 0.005
349 134.4 0.002
349 150.6 0.001
16 4.4 0.013
16 23.6 0.013
16 44.5 0.015
16 74.1 0.018
16 98.8 0.011
16 124.4 0.009
16 150.3 0.002
16 176.3 0.001
52 4 0.009
52 24.3 0.011
52 44.7 0.013
52 74 0.013
52 100.7 0.016
52 125.6 0.003
52 148.6 0.001
52 177.9 0.002
72 4.1 0.018
72 24.2 0.021
72 44 0.018
72 74.5 0.015
72 98.1 0.021
72 123.7 0.013
72 150.5 0.012
72 174.4 0.008
141 4.1 0.005
141 24 0.006
141 43.5 0.008
141 73.6 0.006
141 99 0.009
141 124.1 0.014
141 149.2 0.006
141 175.8 0.002
181 4 0.005
181 24.2 0.009
181 44.3 0.008
181 74.6 0.013
181 100.3 0.017
181 124.2 0.008
181 148.7 0.004
181 174.7 0.001
240 4.3 0.011
240 25.1 0.01
240 45 0.012
240 75.7 0.014
240 100.7 0.008
240 123.9 0.009
240 150.8 0.01
240 175.7 0.002
308 4.7 0.007
308 25 0.012
308 45.1 0.007
308 45.2 0.035
308 75.4 0.016
308 99.5 0.01
308 126.2 0.004
308 149.5 0.002
329 4.9 0.005
329 25.3 0.005
329 44.5 0.012
329 74.9 0.01
329 100.7 0.007
329 126.4 0.004
329 150.9 0.002
353 3.5 0.009
353 25 0.007
353 45.5 0.012
353 75.7 0.01
353 99.1 0.009
353 125.3 0.006
353 151.5 0.002
353 173.2 0.002
17 4.1 0.014
17 24.4 0.015
17 45 0.015
17 74.4 0.025
17 99.7 0.016
17 124.8 0.008
17 150.3 0.004
17 175.2 0.001
57 4.2 0.016
57 24 0.018
57 45.5 0.016
