"DOY" "Depth" "SYN"
353 3.5 0.023
353 25 0.025
353 45.5 0.02
353 75.7 0.011
353 99.1 0.005
353 173.2 0.004
17 4.1 0.034
17 24.4 0.031
17 45 0.033
17 74.4 0.037
17 99.7 0.032
17 124.8 0.001
17 150.3 0.002
17 175.2 0.002
57 4.2 0.03
57 24 0.034
57 45.5 0.03
57 74.2 0.028
57 99.2 0.026
57 126.6 0.003
57 152.8 0.003
57 172.6 0.002
88 9.6 0.019
88 24.6 0.021
88 45.2 0.026
88 74.1 0.027
88 101.5 0.02
88 151.7 0.001
114 4.3 0.011
114 23.8 0.015
114 44.5 0.013
114 74.5 0.021
114 99.2 0.012
114 124.6 0.001
114 148.8 0.001
114 177.2 0.001
141 5 0.015
141 24.4 0.013
141 44.6 0.02
141 74.4 0.014
141 100.3 0.002
141 149.9 0.002
141 175 0.002
171 4.7 0.007
171 23.4 0.006
171 44.6 0.007
171 74.4 0.009
171 99.2 0.005
201 4.9 0.008
201 24.2 0.01
201 45.5 0.016
201 75.1 0.024
201 99.9 0.019
201 125.2 0.001
201 175.4 0.001
233 5.5 0.009
233 25.7 0.011
233 44.1 0.01
233 74 0.01
233 101 0.005
288 4.5 0.008
288 26.9 0.007
288 45 0.007
288 74.6 0.014
288 100.5 0.009
288 177.3 0.001
314 10.5 0.01
314 25.5 0.01
314 45.5 0.009
314 75.4 0.009
314 103.6 0.014
354 10 0.02
354 25.1 0.023
354 45.4 0.023
354 74.5 0.017
354 100.6 0.01
354 125.7 0.001
56 25.1 0.014
56 43.7 0.015
56 74.4 0.015
56 97.9 0.001
80 6.7 0.018
80 24.4 0.018
80 44.8 0.018
80 73.9 0.019
80 100 0.003
80 123.8 0.001
80 174.5 0.001
112 3.9 0.015
112 23.1 0.017
112 44 0.018
112 73.4 0.021
112 98.5 0.019
112 123.6 0.002
112 148.3 0.001
140 4.7 0.016
140 24.2 0.022
140 44.5 0.022
140 74.3 0.019
140 99.1 0.022
140 149.5 0.001
168 4 0.009
168 24.3 0.01
168 44.3 0.012
168 74.3 0.019
168 99.5 0.006
230 5.2 0.006
230 24.6 0.006
230 45.6 0.024
230 74.6 0.031
273 4.8 0.007
273 24.8 0.008
273 44.3 0.009
273 73.9 0.018
273 99.6 0.015
273 125.6 0.001
273 175.5 0.001
305 5 0.006
305 25.4 0.007
305 46.5 0.007
305 74.7 0.028
305 99.5 0.01
305 176.4 0.001
333 4.8 0.007
333 25 0.008
333 44.9 0.009
333 76.1 0.017
333 99.3 0.003
333 124.6 0.001
356 5.1 0.021
356 24.3 0.027
356 44.9 0.024
356 76.1 0.026
356 100.6 0.001
33 5 0.014
33 25.1 0.015
33 44.9 0.012
