"DOY" "Depth" "C2N"
292 175.9 6.80672268907561
353 6.8 8.39160839160837
353 151.1 5.95890410958904
353 176.2 11
50 27.2 6.51465798045603
50 47.4 5.72727272727271
50 78.1 6.353591160221
50 83.5 5.74468085106383
50 124.3 26.0714285714286
50 134.2 18.3333333333333
50 154.6 7.58928571428571
50 184.8 7.04761904761904
170 8.6 8.71287128712873
170 28.5 8.29059829059829
170 47.5 9.05829596412559
170 77.4 8.43049327354258
170 103.7 8.27027027027024
170 129 7.91666666666668
170 154.4 9.34065934065932
201 25.5 8.97610921501706
201 25.6 9.42652329749105
201 73.2 7.41025641025642
201 101.1 7.81758957654721
201 124.5 9.21296296296298
201 129.4 7.69230769230769
201 134.3 10.1538461538462
201 140.2 10.7913669064748
201 150.3 8.93939393939394
201 177.2 9.12087912087916
201 248.8 9.87012987012989
200 50.9 7.22921914357684
200 50.8 6.81564245810055
200 50.7 6.88829787234043
200 135.8 8.71794871794873
200 135.8 10.1307189542484
200 135.8 10.2994011976048
231 29.6 5.38461538461538
231 49.1 5.66909975669099
231 79.3 5.27220630372494
231 104.4 5.12396694214875
231 128.6 7.50000000000002
231 155.4 6.16000000000001
231 179.6 7.34693877551021
19 4.3 5.48387096774192
19 25 5.54140127388534
19 45.1 5.43973941368079
19 72.6 4.67289719626168
19 99.8 4.66417910447761
19 120.6 4.63114754098361
19 145.5 5.89041095890411
19 177.2 5.3061224489796
19 239.7 6.26373626373625
50 6.8 4.46629213483147
50 24.6 4.86338797814207
50 44.8 5.36523929471032
50 60.3 4.71794871794873
50 65 5.19138755980861
50 71 4.59530026109661
50 80.3 7.50000000000002
50 95.2 6.64893617021277
50 100.5 5.84269662921349
50 105.4 6.07734806629833
50 125.2 4.3884892086331
50 150.6 6.42857142857141
50 169.9 6.75324675324676
109 5.5 5
109 28.6 5.09138381201045
109 28 4.83783783783784
109 44.8 4.76608187134504
109 74.6 4.35820895522387
109 89.7 5
109 99.8 5.31486146095716
109 99.8 4.58974358974359
109 109 5.1338199513382
109 126 4.64968152866242
109 140.5 3.8
109 148.2 5.63829787234042
109 174.1 4.04109589041096
109 243.2 3.125
140 7.2 12.1666666666667
140 27.5 6.77524429967426
140 48.2 5.61181434599158
140 48.2 6.01398601398601
140 78.7 6.29999999999999
140 78.8 6.04095563139931
140 103.8 6.15635179153096
140 121.3 5.66037735849056
140 174.8 6.89075630252102
140 212.6 6.78571428571427
262 7 6.43333333333333
262 25.5 6.4968152866242
262 25.2 6.656050955414
262 47 6.46496815286624
262 76.8 6.25730994152045
262 98.7 6.43333333333333
262 98.8 5.52238805970149
262 122.5 5.49180327868852
262 149.4 5.74850299401199
262 177.4 7.14285714285714
292 7.3 3.74622356495468
292 27.4 5.87467362924283
292 50.1 4.79923518164436
292 55.9 5.69190600522195
292 74 4.62962962962963
292 90.6 4.73804100227791
292 100.4 4.46280991735537
292 104.8 2.9173166926677
292 109.5 3.26388888888889
292 113.9 4.01766004415011
292 125.2 3.00168634064081
292 150.8 5.02994011976047
292 174.5 3.71257485029941
19 6.9 7.26086956521737
19 12.6 7.67932489451478
19 27.6 6.54708520179373
19 46.4 7.54098360655737
19 62.8 7.40740740740741
19 72.9 6.81614349775787
19 84.9 8.57142857142855
19 99.3 6.20253164556963
19 116.2 6.75000000000001
19 175.9 6.48351648351649
19 246.6 7.30158730158732
19 6.8 7.32558139534881
19 25.5 6.86666666666667
19 53.4 8.22784810126579
19 76.9 6.41434262948209
19 101.1 6.4705882352941
19 101.8 6.15384615384615
19 101.9 7.3053892215569
19 127.1 6.24000000000001
19 150.6 5.968992248062
19 173.7 7.02380952380953
50 5.5 7.29641693811077
50 25.2 6.71974522292995
50 44.8 6.62116040955629
50 69.8 6.9485294117647
50 74.8 6.58703071672354
50 100.1 6.8503937007874
50 126.3 6.38766519823789
50 149.8 5.34653465346535
50 176.1 10.5714285714286
78 5.6 6.76470588235293
78 25.4 6.98924731182796
78 45.6 7.0955882352941
78 75.3 6.71974522292995
78 100.6 6.30824372759858
78 126.2 6.04651162790699
78 140.8 6.43442622950822
78 147.1 5.93301435406699
78 175.7 6.43835616438357
170 25.5 8.67924528301885
170 46.3 8.84328358208958
170 49.2 8.26666666666666
170 75 8.6319218241042
170 113.9 8.81720430107531
170 132.9 8.03333333333332
170 150.5 9.10958904109586
170 175.8 8.75000000000002
170 249.5 9.78021978021978
200 4.8 11.7313432835821
200 25.3 8.71287128712873
200 46 7.64102564102561
200 75.2 7.07462686567165
200 90.3 6.87134502923977
200 100.5 6.10591900311525
200 110.7 5.95541401273885
200 125.6 6.01398601398601
200 150.7 5.91836734693879
200 174.5 7.57575757575758
231 4.7 7.04641350210969
231 25.2 5.91304347826085
231 44.5 6.04584527220629
231 75.2 6.18823529411765
231 94.2 5.90425531914895
231 100.4 5.54517133956388
231 104.7 5.54878048780489
231 109.7 5.3582554517134
231 114.8 5.66037735849056
231 125 4.85232067510549
231 149.8 5
231 174.8 5.60606060606062
231 249.6 5.49450549450549
231 5.5 6.41744548286603
231 24.7 6.91460055096419
231 45.4 7.06293706293704
231 76.1 7.19512195121949
231 101.5 6.73333333333331
231 125.6 6.22641509433961
231 151.1 6.37931034482758
231 178.5 5.82191780821918
262 5.5 6.21019108280255
262 24.7 6.7283950617284
262 45.6 6.62686567164179
262 75.1 6.46341463414636
262 99.5 6.64335664335663
262 109.9 6.20000000000001
262 114.5 6.15635179153096
262 119.6 6.17834394904458
262 125 5.94405594405595
262 129.6 6.45569620253163
262 150.5 6.09589041095889
262 175.5 5.88235294117647
292 5 6.3970588235294
292 25.6 6.9204152249135
292 45.2 7.31617647058824
292 75.3 6.69999999999998
292 100.1 5.94059405940595
292 105.2 5.52447552447553
292 109.3 5.0188679245283
292 115.9 4.82071713147409
292 120.2 4.65116279069767
292 125.1 5.52173913043479
292 149.8 5.89285714285713
292 174.9 5.81632653061223
323 5.6 6.41255605381166
323 25.4 7.69230769230769
323 45.3 6.45051194539249
323 76.2 6.31399317406145
323 93.8 6.24472573839663
323 110.8 5.77272727272727
323 127.6 4.93750000000001
323 152.9 6.28571428571429
323 183 6.90476190476188
79 4.8 7.54629629629629
79 25.2 7.66990291262136
79 46 6.69565217391306
79 74.9 7.07920792079209
79 102.9 6.555023923445
79 127.3 6.74242424242424
79 147.1 5.99999999999999
79 173.8 6.49350649350649
79 25 6.69117647058826
79 45.4 7.34782608695652
79 249.6 13.1428571428571
109 5.3 2.63610315186247
109 24.7 3.15
109 45.1 4.25925925925926
109 75.3 4.06649616368286
109 99.4 3.99026763990268
109 109.5 4.67048710601719
109 124.9 3.97014925373135
109 140.1 3.7984496124031
109 149.9 3.90134529147982
109 159.9 4.5751633986928
109 175.4 4.3884892086331
139 4.7 6.55487804878048
139 25 6.9204152249135
139 44.9 6.61237785016287
139 100.9 6.4705882352941
139 125.6 5.63535911602209
139 159.3 5.83999999999999
139 174.1 6.57534246575344
139 249.7 6.75324675324676
139 74.8 7.08860759493669
200 99.9 3.28094302554027
200 125.1 5.09146341463413
200 149.6 6.10778443113774
200 174.9 6.31250000000002
200 249.8 6.04395604395606
232 4.7 6.56666666666666
232 9.8 6.06666666666666
232 24.5 6.38888888888888
232 44.1 6.5497076023392
232 59.3 6.29242819843343
232 74.4 6.30372492836675
232 91.3 6.21323529411765
232 108.4 6.34408602150537
232 129.2 6.65071770334928
232 139.7 5.88235294117647
232 149.8 7.23809523809524
232 175.4 6.26373626373625
262 4.2 7.01195219123508
262 24.8 7.09219858156028
262 45.2 6.87296416938109
262 74 6.4179104477612
262 100 5.82317073170733
262 124.6 5.8744394618834
262 149.4 6.42857142857141
262 174.5 7.33333333333335
292 5.1 6.74157303370788
292 25 6.93548387096774
292 44.7 6.91011235955054
292 75.3 6.5109034267913
292 89.3 6.29370629370629
292 99.5 6.09318996415769
292 104.1 6.21323529411765
292 114.6 6.2200956937799
292 124.5 6.79738562091501
292 149.3 6.90476190476188
292 174.5 6.81318681318682
292 199.5 7.01298701298699
292 249.7 7.93650793650794
324 4.3 6.01910828025478
324 25.1 6.12804878048781
324 44.8 6.45569620253163
324 74.5 6.27240143369177
324 93.8 5.69721115537847
324 99.3 5.5813953488372
324 110.3 5.53846153846153
324 124.6 6.07843137254902
324 149.9 6.28571428571429
324 175.7 6.42857142857141
324 25.2 7.22560975609755
324 44.7 6.98830409356727
324 99.2 6.76567656765674
323 4.6 6.19937694704048
323 24.6 4.34426229508197
323 44.9 6.55290102389077
323 74.2 6.16487455197134
323 104.7 5.49800796812747
19 4.5 4.96163682864451
19 24 5.57103064066852
19 43.6 5.64231738035264
19 74.8 5.15759312320917
19 84.2 5.01377410468321
19 89.1 4.86486486486485
19 94.1 4.49438202247191
19 99.2 4.47580645161291
19 104.4 4.30278884462152
19 125.5 3.9108910891089
19 150 4.53237410071942
19 174.1 4.70588235294118
19 249.8 4.38095238095239
78 5.2 6.31782945736434
78 24.7 6.31921824104236
78 44.3 5.45945945945946
78 74.7 5.57632398753896
78 100.1 5.60260586319219
78 125.1 5.7309941520468
78 148.6 5.75163398692812
78 174.8 8.09523809523809
78 249.7 4.76190476190476
79 8.9 5.57986870897155
79 59.6 5.55873925501432
79 74.3 4.27492447129909
79 249.5 5.47619047619047
109 4.6 4.76082004555809
109 25 5.19607843137256
109 44.9 6.11570247933886
