"DOY" "Depth" "DIP"
45 175 0.191421944648027
45 200 0.237516921013594
45 225 0.357602782547474
45 250 0.297518506646156
75 1.25 0.134127508848906
75 5 0.124594325199723
75 10 0.120234569534659
75 15 0.121143745258451
75 20 0.12248931452632
75 25 0.123802572488785
75 30 0.126102110370994
75 35 0.127783894538879
75 40 0.128085847944021
75 45 0.127823770046234
75 50 0.127523822709918
75 55 0.119096867740154
75 60 0.11821261048317
75 65 0.118953287601471
75 70 0.115649478510022
75 75 0.112219974398613
75 80 0.114674411714077
75 85 0.114600628614426
75 90 0.115599513053894
75 95 0.118051812052727
75 105 0.125521780923009
75 125 0.124673265963793
75 150 0.147418309003115
75 175 0.147531967610121
75 200 0.208812158554792
75 225 0.224548749625683
75 250 0.278957694768906
105 1.25 0.0428469832986593
105 5 0.037540721707046
105 10 0.0340882083401084
105 15 0.0332525232806802
105 20 0.0332995601929724
105 25 0.0343936635181308
105 30 0.0366222346201539
105 35 0.0407751495949924
105 40 0.0445681251585484
105 45 0.0475174393504858
105 50 0.0496507445350289
105 55 0.0691447434946895
105 60 0.069918479770422
105 65 0.0722121316939592
105 70 0.0740154460072517
105 75 0.0739021133631468
105 80 0.0788243543356657
105 85 0.0836296603083611
105 90 0.0882035903632641
105 95 0.0946347527205944
105 105 0.0954223889857531
105 125 0.122050469741225
105 150 0.132283423095942
105 175 0.150970064103603
105 200 0.186578176915646
105 225 0.220301572233438
105 250 0.244821552187204
135 1.25 0.111197747290134
135 5 0.074694287031889
135 10 0.108938643708825
135 15 0.109260572120547
135 20 0.11020116508007
135 25 0.111194452270865
135 30 0.111857524141669
135 35 0.113319961354136
135 40 0.113337369635701
135 45 0.114334192126989
135 50 0.119050040841103
135 55 0.0734017081558704
135 60 0.0823716800659895
135 65 0.0885547213256359
135 70 0.100946279242635
135 75 0.104323234409094
135 80 0.110194934532046
135 85 0.115878919139504
135 90 0.111381229013205
135 95 0.123202944174409
135 105 0.125929825007915
135 125 0.141809053719044
135 150 0.1603061594069
135 175 0.182809665799141
135 200 0.213171906769276
135 225 0.252338286489248
135 250 0.279724068939686
165 1.25 0.0509905377402902
165 5 0.0561690265312791
165 10 0.0431906245648861
165 15 0.042794213630259
165 20 0.0454290825873613
165 25 0.0480195190757513
165 30 0.0498359194025397
165 35 0.0510161416605115
165 40 0.0516994306817651
165 45 0.0530893327668309
165 50 0.0531031740829349
165 55 0.0456490740180016
165 60 0.0501568159088492
165 65 0.0551454788073897
165 70 0.0604437487199903
165 75 0.066499400883913
165 80 0.0740602416917682
165 85 0.0832110289484262
165 90 0.0921887028962374
165 95 0.103205278515816
165 105 0.114789033308625
165 125 0.144165765494108
165 150 0.178704380989075
165 175 0.213141746819019
165 200 0.23919378593564
165 225 0.270001757889986
165 250 0.299000382423401
195 1.25 0.0746907768771052
195 5 0.066610112786293
195 10 0.0605627186596394
195 15 0.0556933293119073
195 20 0.0545697612687945
195 25 0.0534333717077971
195 30 0.0549764335155487
195 35 0.0536897517740726
195 40 0.0529986703768373
195 45 0.0508352471515536
195 50 0.051274792291224
195 55 0.0564248133450747
195 60 0.0610712599009275
195 65 0.0667725540697575
195 70 0.0713513372465968
195 75 0.0686148386448622
195 80 0.0732481405138969
195 85 0.0774157904088497
195 90 0.0875692740082741
195 95 0.108563985675573
195 105 0.115180253982544
195 125 0.145657386630774
195 150 0.178697258234024
195 175 0.217150002717972
195 200 0.238477043807507
195 225 0.275937706232071
195 250 0.300267718732357
225 1.25 0.0830135326832533
225 5 0.0833823643624783
225 10 0.0740318149328232
225 15 0.0739540662616491
225 20 0.0746837984770536
225 25 0.0802162773907185
225 30 0.0824152063578367
225 35 0.078798521310091
225 40 0.0748844612389803
225 45 0.0718655679374933
225 50 0.0716686006635427
225 55 0.074855936691165
225 60 0.0814918112009764
225 65 0.0869886390864849
225 70 0.0920465812087059
225 75 0.0980434268712997
225 80 0.104296645149589
225 85 0.119099777191877
225 90 0.132919996976852
225 95 0.143771830946207
225 105 0.144187953323126
225 125 0.181768372654915
225 150 0.220304656773806
225 175 0.235389739274979
225 200 0.229543637484312
225 225 0.251067940145731
225 250 0.29753827303648
255 1.25 0.114182189106941
255 5 0.118640499189496
255 10 0.114344876259565
255 15 0.101028127595782
255 20 0.0954663660377264
255 25 0.0940412469208241
255 30 0.0903117284178734
255 35 0.0877100192010403
255 40 0.0877733193337917
255 45 0.0933881942182779
255 50 0.0993964876979589
255 55 0.102988345548511
255 60 0.124577729031444
255 65 0.143537607043982
255 70 0.158873587846756
255 75 0.170349847525358
255 80 0.191416434943676
255 85 0.210890054702759
255 90 0.23417280241847
255 95 0.245482977479696
255 105 0.27137266099453
255 125 0.355549156665802
255 150 0.340957209467888
255 175 0.326276309788227
255 200 0.266198232769966
255 225 0.331203132867813
255 250 0.359253086149693
285 1.25 0.0531570753082633
285 5 0.05313990265131
285 10 0.0467719295993447
285 15 0.0489275604486465
285 20 0.0490162586793303
285 25 0.0505251996219158
285 30 0.0533499401062727
285 35 0.0584430228918791
285 40 0.0641737449914217
285 45 0.0687368214130402
285 50 0.073421586304903
285 55 0.0746324099600315
285 60 0.0801264857873321
285 65 0.0857335217297077
285 70 0.0915568321943283
285 75 0.0889631602913141
285 80 0.0992598440498114
285 85 0.109192486852407
285 90 0.114847354590893
285 95 0.132386593148112
285 105 0.140022756531835
285 125 0.195428598672152
285 150 0.250034417957067
285 175 0.257174968719482
285 200 0.300194934010506
285 225 0.298927806317806
285 250 0.335168085992336
315 1.25 0.0471928892657161
315 5 0.0498022502288222
315 10 0.0493514891713858
315 15 0.0427507194690406
315 20 0.0740182353183627
315 25 0.0810207528993487
315 30 0.0861865151673555
315 35 0.0884303785860538
315 40 0.0879639945924282
315 45 0.087623992934823
315 50 0.0836619716137648
315 55 0.0790771152824163
315 60 0.0848623588681221
315 65 0.0874808449298143
315 70 0.0915678776800632
315 75 0.086433220654726
315 80 0.0972326155751944
315 85 0.110667511820793
315 90 0.12342843785882
315 95 0.139522274956107
315 105 0.132203636690974
315 125 0.163209360092878
315 150 0.211401615291834
315 175 0.223339892923832
315 200 0.264237374067307
315 225 0.25330226123333
315 250 0.267055578529835
345 1.25 0.147083481773734
345 5 0.120982630178332
345 10 0.144244443625212
345 15 0.149376591667533
345 20 0.140950530767441
345 25 0.132832186296582
345 30 0.134062182158232
345 35 0.123248644173145
345 40 0.111749161034822
345 45 0.101269453763962
345 50 0.100193940103054
345 55 0.101621786132455
345 60 0.10995770804584
345 65 0.114209951832891
345 70 0.109840581193566
