"DOY" "Depth" "DIP"
352 166.3 0.24
352 191.8 0.31
352 241.2 0.49
352 7 0.05
352 14.9 0.05
352 27 0.04
352 45.8 0.05
352 45.8 0.05
352 61.9 0.04
352 76.5 0.05
352 86 0.04
352 96.2 0.04
352 106.2 0.07
352 116.6 0.09
352 128 0.2
353 9.4 0.07
34 15 0.07
34 119.4 0.11
34 12.6 0.07
34 53.4 0.06
34 85.4 0.06
34 110.1 0.06
34 138.4 0.14
34 209.2 0.3
34 243.4 0.43
34 6 0.09
34 26.1 0.07
34 36 0.07
34 49.6 0.07
34 62.1 0.07
34 75.6 0.06
34 88.4 0.06
34 99.1 0.06
34 107.3 0.06
34 118.2 0.04
34 128.5 0.06
34 139 0.17
34 154.8 0.18
34 182.3 0.25
34 209.8 0.38
34 229.1 0.54
35 6.9 0.1227
35 26.6 0.1123
35 46.5 0.062
35 76.2 0.069
35 105.7 0.1035
35 129.7 0.1556
35 158 0.2109
35 179.8 0.2725
35 205.4 0.3123
65 5.4 0.0615
65 5.7 0.0771
65 16.1 0.0703
65 19.1 0.0732
65 26.7 0.0723
65 36.8 0.0752
65 39.7 0.0723
65 63.7 0.0596
65 78.9 0.0615
65 86.2 0.0527
65 94.7 0.0684
65 105.3 0.0605
65 117.6 0.0869
65 126.5 0.1123
65 139.2 0.13
65 153.9 0.2158
65 203.7 0.4151
66 171.7 0.29
67 4.5 0.1
67 31.1 0.1
67 49.6 0.06
67 72.9 0.07
67 101.7 0.08
67 124.6 0.11
67 139.5 0.17
67 147.6 0.26
67 156 0.22
67 179.9 0.22
99 43.9 0.07
99 92.1 0.06
99 108.3 0.07
99 163.7 0.14
99 187 0.21
99 245.7 0.34
100 230.6 0.36
100 27.2 0.09
100 37.9 0.07
100 48.7 0.07
100 65.1 0.06
100 77.5 0.06
100 88.9 0.07
100 98.6 0.07
100 108.2 0.11
100 119.6 0.13
100 130.3 0.16
100 157.1 0.21
100 181.3 0.23
100 209.7 0.27
100 6.4 0.0527
100 11.2 0.0527
100 27.8 0.0273
100 48.6 0.0176
100 62.9 0.0215
100 78.7 0.0312
100 88.8 0.0674
100 104.6 0.0967
100 120.1 0.1064
100 129.8 0.1299
100 142.1 0.1582
100 156.7 0.1973
100 183.5 0.2295
100 204.9 0.2598
128 37.5 0.06
128 49.2 0.06
128 61.3 0.04
128 99.9 0.06
128 148 0.08
128 207.6 0.3
128 230.6 0.4
128 215.4 0.32
128 241.5 0.45
128 10.6 0.0811
128 18.3 0.1
128 27.5 0.0781
128 26.4 0.1
128 36.7 0.09
128 46 0.0381
128 64.3 0.0205
128 78 0.0117
128 86.9 0.0107
128 98 0.0137
128 104.6 0.0801
128 114.8 0.0332
128 126.3 0.07
128 140.5 0.07
128 157.2 0.0518
128 165.4 0.1
128 188.5 0.2256
155 103.1 0.06
155 6.2 0.08
155 25.6 0.08
155 65.5 0.06
155 97.8 0.04
155 104.4 0.06
155 152.4 0.15
155 157 0.18
155 226.7 0.34
156 232 0.38
156 6.5 0.125
156 12.3 0.1211
156 16.2 0.1084
156 27.8 0.08
156 37.9 0.1133
156 47.7 0.0645
156 63.6 0.0576
156 78.2 0.04
156 90.2 0.0527
156 99.2 0.04
156 109.6 0.0752
156 120.2 0.07
156 130.2 0.1269
156 139 0.1865
156 169.5 0.2978
156 194.1 0.3555
156 210 0.3
156 221.5 0.6046
190 13.2 0.12
190 53.5 0.13
190 66.4 0.1
190 110.1 0.12
190 143.4 0.13
190 186 0.18
190 244.2 0.42
191 215.8 0.26
191 230.5 0.32
191 3.3 0.12
191 13.3 0.12
191 23.3 0.1436
191 34 0.12
191 43.2 0.1358
191 58.9 0.1358
191 73.9 0.1055
191 84.7 0.1367
191 94.5 0.1221
191 104.4 0.1748
191 115.1 0.1611
191 127.4 0.14
191 135.8 0.2392
191 150.6 0.1406
191 180 0.2558
191 205.8 0.503
221 10.2 0.04
221 22.6 0.07
221 46.5 0.03
221 71.8 0.09
221 142.2 0.1
221 160.4 0.12
221 181.9 0.16
221 214.6 0.22
222 229.3 0.25
222 7.9 0.1426
222 26.9 0.1582
222 34.8 0.07
222 42.2 0.07
222 59.1 0.0811
222 75.7 0.06
222 87.6 0.1494
222 98.2 0.07
222 107.6 0.1543
222 117.7 0.1602
222 129.6 0.166
222 139.3 0.09
222 153.1 0.2109
222 181.1 0.2812
222 208.5 0.4287
260 54.2 0.07
260 201.8 0.19
260 12.7 0.06
260 17.4 0.07
260 32.3 0.06
260 58.4 0.06
260 76.8 0.04
260 85.7 0.07
260 144.6 0.09
260 202.3 0.2
261 230.6 0.29
261 111.4 0.1455
261 121.8 0.1475
261 131.5 0.09
261 141.7 0.1689
261 158.7 0.2236
261 176.2 0.2676
261 199.9 0.2
261 11.3 0.1016
261 31.1 0.0977
261 41.1 0.07
261 50.8 0.0996
261 67.7 0.082
261 83.3 0.1025
261 95.6 0.1
261 105.4 0.1455
293 6 0.1
294 10 0.07
294 46.1 0.06
294 71.7 0.04
294 92.2 0.06
294 112.3 0.07
294 129.1 0.1
294 159.8 0.11
294 218.9 0.4
294 224.7 0.39
294 249.1 0.6
294 103.9 0.0254
294 114.6 0.0801
294 124.7 0.127
294 135.1 0.0752
294 150.5 0.0508
294 175 0.1006
294 199.6 0.2266
294 226.4 0.42
294 250 0.63
294 6.7 0.0342
294 16.8 0.07
294 27 0.0313
294 35.9 0.09
294 46.5 0.0342
294 61.3 0.0156
294 76.8 0.0225
294 87.1 0.04
294 97.4 0.0234
339 7.4 0.12
339 50.3 0.1
339 200.7 0.34
339 8 0.11
339 31.7 0.1
339 53.8 0.08
339 67.8 0.06
339 86 0.06
339 97.4 0.09
339 108.9 0.1
339 130.3 0.12
339 145.4 0.17
339 207.9 0.34
340 224.4 0.44
340 249 0.6
340 99.2 0.07
340 105.3 0.07
340 115.8 0.14
340 126.5 0.13
340 137.6 0.15
340 153.7 0.19
340 178 0.3
340 201.7 0.38
340 6.6 0.1
340 14.2 0.1
340 24.3 0.09
340 35.7 0.09
340 45.7 0.08
340 61.1 0.1
340 75.4 0.11
340 88.6 0.09
341 7.9 0.0684
341 13.2 0.0801
341 23.2 0.084
341 33.3 0.082
341 43.4 0.0625
341 49.8 0.0488
341 70.4 0.0352
341 88.1 0.085
341 108.3 0.0693
341 124.5 0.0654
341 150.9 0.1318
341 174.7 0.2246
341 202.9 0.2832
45 14.3 0.08
45 54.6 0.07
45 82.2 0.07
45 115.1 0.12
45 131.9 0.13
45 200.2 0.14
45 239.1 0.17
46 229.6 0.21
46 108.6 0.0352
46 127.4 0.082
46 138 0.12
46 153.1 0.13
46 177 0.14
46 187.8 0.0957
