"DOY" "Depth" "POP"
197 99.5 12.3
197 124.9 11.7
197 149.6 5.7
197 175.4 4.1
197 250.7 2.5
197 75.6 12
222 5.6 16.7
222 25.2 18.3
222 44.7 18.3
222 75.1 10.4
222 100.1 8.8
222 124.7 11.3
222 150.2 6.3
222 173.6 6
222 250.6 4.4
271 5.7 13.6
271 25.1 13.2
271 45 13.9
271 75.6 16.7
271 100.5 12.9
271 125 8.5
271 150.5 4.1
271 175.4 4.4
271 253.5 2.5
271 499.8 1.6
292 5.7 16.4
292 25.6 14.8
292 44.9 13.6
292 75.5 15.8
292 100.3 14.5
292 125 8.2
292 150 8.8
292 174.7 6.9
292 250.9 4.1
315 5.9 14.2
315 25.3 14.8
315 45.6 15.1
315 75.8 13.9
315 100.5 9.5
315 124.9 9.1
315 150.6 5.4
315 176 3.2
315 251.4 3.5
343 5.5 14.8
343 26.1 11.3
343 45.5 12.9
343 75.9 18
343 100.6 10.1
343 126.2 7.3
343 152.3 2.5
343 177.7 3.5
343 249.3 3.2
13 5.3 18.3
13 26 15.1
13 46.6 13.2
13 75.8 14.8
13 100.3 12.9
13 126 12.3
13 150.6 9.1
13 175 4.7
13 250.7 2.5
49 6.4 9.5
49 26.2 11.3
49 45.7 9.5
49 75.7 7.3
49 100.8 9.5
49 126.3 9.1
49 149.8 5.7
49 174.9 3.2
49 250.1 2.2
76 5.8 17
76 25.9 14.2
76 46.4 11.3
76 76 17
76 99.5 16.1
76 125.8 8.8
76 151.1 8.8
76 176.6 5.7
76 251.6 3.5
76 499 1.9
104 5.6 14.2
104 24.2 12.6
104 45.1 13.6
104 75.7 15.1
104 100.9 13.2
104 123.9 11.3
104 150.2 6.3
104 175.4 7.9
104 250.4 4.7
195 5 14.8
195 24.9 13.2
195 44.8 16.4
195 74.7 19.2
195 99.9 16.7
195 124.8 14.2
195 150.3 9.5
195 174.7 10.4
195 249.9 4.4
226 4.7 12.9
226 24.9 12.3
226 44.4 18
226 75.4 15.1
226 100.3 13.6
226 124.8 8.8
226 150.4 6.6
226 176.9 5
226 250.7 2.5
226 499.9 1.9
288 5.1 15.8
288 24.9 16.7
288 45 13.9
288 74.5 14.2
288 100.3 12.6
288 125.4 10.1
288 149.8 5
288 175 4.7
288 250.7 5
288 499.8 2.8
313 5.1 15.4
313 24.6 15.1
313 45 13.6
313 75.2 9.8
313 100.7 9.5
313 126 6
313 149.8 5
313 175.1 4.7
313 252 2.8
349 4.6 11.3
349 24.7 13.9
349 44.7 11
349 75.4 10.4
349 100 6.9
349 124.5 6.3
349 150.1 1.9
349 174.4 1.9
349 251.5 1.9
349 498.7 1.9
34 4.9 13.2
34 24.9 13.2
34 45.8 11.3
34 75 13.9
34 100.1 12.9
34 125.3 9.5
34 150 4.7
34 175.4 4.1
34 249.1 3.2
34 499.6 1.6
60 4.5 14.2
60 25.5 15.1
60 44.6 14.5
60 76.2 15.4
60 98.8 11.3
60 124.2 10.4
60 149.8 7.6
60 175.3 5.7
60 250.4 3.8
60 499.2 1.9
89 4.7 13.6
89 25.1 15.1
89 44.7 14.8
89 75.3 13.2
89 98.8 9.1
89 126 6.6
89 149.8 5.4
89 175.2 4.1
89 249 3.5
89 499.8 1.9
117 4.8 14.2
117 24.7 14.2
117 45 15.8
117 76 13.6
117 99.8 11
117 124.3 7.6
117 149.8 5.4
117 174.8 4.1
117 249.6 3.2
145 4.7 11.4
145 24.3 11.4
145 45.5 11.4
145 74.1 8.8
145 99 10.1
145 125.3 5.7
145 149.1 3.2
145 174 3.2
145 249.3 2.8
172 29.6 9.8
173 4.9 9.5
173 24.6 15.4
173 45 18.9
173 74.9 12.3
173 100.2 7.6
173 125.4 5.4
173 150.6 2.8
173 175.3 2.8
173 250.9 2.5
173 498.5 1.6
208 4.5 20.8
208 25.4 23.3
208 44 16.4
208 75.2 14.2
208 100 13.2
208 125.2 8.8
208 149.1 5.7
208 175 5
208 253.4 2.8
236 4.3 17
236 25.3 11
236 46.1 6.9
236 74.3 7.6
236 99.5 12
236 126.2 8.2
236 149.5 4.4
236 174.4 3.5
236 251.2 3.2
292 4.7 17
292 24.8 11.3
292 44.6 11.3
292 75.3 12.6
292 99.7 8.2
292 126.9 5
292 148.9 4.1
292 173.8 2.8
292 249.3 2.2
335 5.1 7.9
335 24 15.8
335 44.7 9.5
335 73.7 10.7
335 99.5 7.9
335 124 4.4
335 150.1 6.9
335 175.2 3.2
335 198.8 3.2
335 250.1 1.6
335 350.7 1.9
335 350.6 2.2
355 4.3 15.5
355 23.9 12.3
355 44.4 13.6
355 73.9 9.5
355 99.1 11
355 124.4 10.4
355 148.9 3.2
355 173.2 4.7
355 199.2 4.1
355 249.1 3.2
355 349.2 1.6
355 349.1 2.2
355 148.6 6.9
17 3.9 10.4
17 24.3 10.7
17 43.5 12.6
17 74.5 12
17 99.4 7.9
17 124.2 9.5
17 148.9 9.5
17 174.7 6.3
17 198.5 4.7
17 248.7 2.8
17 348.7 1.9
17 348.6 2.2
46 4.9 14.2
46 23.9 11.3
46 44.9 13.6
46 75.2 8.2
46 98.5 7.6
46 125.8 6.3
46 151.1 4.1
46 174.4 2.2
46 204.7 2.8
