"DOY" "Depth" "TIN"
4 2000.5 39.95
4 2201.9 39.59
4 2591.4 38.75
4 2794.3 38.27
4 3000.3 38.04
4 3395.2 36.96
4 3600.6 36.72
4 3800.2 36.36
4 3995.1 36.12
4 4196.1 36.01
4 4395.9 36.01
4 4600.7 35.76
4 4600.5 35.65
4 25.6 0.02
4 77.2 0.02
4 131.6 0.31
4 182.6 0.99
4 182.6 0.98
4 216.9 1.91
4 338.5 14.49
4 377 17.68
4 496 28.24
4 516.7 30.28
4 555.3 34.59
4 576.6 36.85
4 618.3 38.53
4 680.9 41.16
4 742.1 41.04
4 848.2 41.87
4 903.9 41.75
4 1009.5 41.98
4 1024.6 41.98
5 45.8 0.02
5 75.5 0.02
5 85.6 0.02
5 95.1 0.11
5 105.9 0.12
5 117.3 0.23
5 126.9 0.5
5 136.8 1.29
5 479.6 26.69
5 479.6 26.93
5 160.6 0.93
5 215.3 2.5
5 239.1 3.94
5 252.9 4.69
5 280.5 6.33
5 335 15.68
5 359.6 17.48
5 407.4 20.95
5 608.8 37.33
5 711.3 41.39
5 811.8 41.43
5 909 41.86
5 909 41.86
47 999.5 41.98
47 1103.5 41.98
47 1250.4 41.61
47 1399.1 41.35
47 1551.5 41.1
47 1701.7 40.85
47 1850.5 40.47
47 1999.9 40.09
47 2199.4 39.58
47 2397.1 39.21
47 2799.6 38.32
47 2799.6 38.45
47 3400.2 37.32
47 3600.8 37.19
47 3800.5 36.82
47 4002.2 36.5
47 4203.4 36.44
47 4203.4 36.31
47 4415.1 35.93
47 4515 35.93
47 77.6 0.21
47 102 0.27
47 133.5 1.51
47 172.9 2.79
47 233.3 5.7
47 273.3 7.91
47 304.5 10.84
47 355.9 14.22
47 407 19.03
47 446.9 22.87
47 507.5 28.44
47 556.1 33.44
47 556.1 33.63
47 652.7 39.55
47 703.7 40.53
47 759.1 41.26
47 808.5 41.72
47 808.5 41.63
47 1014.6 42.01
47 45.9 0.02
47 60.8 0.02
47 75.6 0.02
47 85.3 0.08
47 96.4 0.45
47 105.9 0.32
47 115.6 0.4
47 125.4 0.96
47 135.7 1.21
47 151 1.62
47 177.6 2.74
77 797.3 42.06
77 999.1 42.19
77 1099 41.94
77 1255 41.82
77 1407.8 41.34
77 1554.3 41.11
77 1690.7 40.86
77 1845.3 40.5
77 1999.2 40.02
77 2201.5 39.43
77 2401.9 39.19
77 2603.5 38.6
77 2804.6 38.12
77 3004.1 37.76
77 3205 37.16
77 3405.7 36.8
77 3606.8 36.33
77 3800.4 36.33
77 4000.6 36.2
77 4204.3 35.85
77 4396.1 35.72
78 24.6 0.02
78 142 0.96
78 153.2 1.65
78 174.1 3.85
78 174.1 3.85
78 226.7 7.38
78 296.1 17.04
78 395 21.65
78 395 21.53
78 469.2 29.29
78 508.3 33.35
78 508.3 33.47
78 557.7 37.29
78 652.1 41.12
78 730.5 42.06
78 820.6 42.19
78 820.6 42.19
78 911.2 42.19
77 1025.3 42.19
