"DOY" "Depth" "PON"
48 115.3 0.286
48 119.6 0.258
48 124.1 0.23
48 150.1 0.16
48 174.6 0.153
48 250.6 0.084
70 4.5 0.237
70 24.4 0.3
70 44.7 0.31
70 74.7 0.272
70 99.5 0.244
70 119.6 0.153
70 149.5 0.112
70 174.8 0.084
70 249.7 0.056
98 25.4 0.303
98 75.3 0.335
98 99.6 0.356
98 125.3 0.237
98 150.7 0.126
98 176.2 0.112
98 252.9 0.084
126 4.2 0.209
126 24.2 0.307
126 44.9 0.279
126 74.5 0.223
126 99.3 0.282
126 124.9 0.216
126 150.2 0.112
126 174.7 0.098
126 250.5 0.07
154 4.7 0.279
154 25 0.328
154 45 0.293
154 75 0.321
154 100 0.317
154 139.4 0.209
154 148.8 0.091
154 175.8 0.112
154 249.3 0.07
154 497.8 0.042
155 125.1 0.314
189 24.5 0.258
189 44.4 0.237
189 74.2 0.272
189 99.8 0.265
189 150 0.244
189 174.2 0.202
189 249.4 0.112
215 4.1 0.363
215 25.2 0.373
215 45.6 0.383
215 74.9 0.342
215 100.2 0.261
215 125.3 0.132
215 150.3 0.112
215 175.1 0.077
215 249.4 0.056
268 5 0.356
268 24.3 0.349
268 44 0.39
268 74.8 0.411
268 99.6 0.383
268 126.5 0.328
268 151.5 0.195
268 175 0.126
268 250.5 0.084
339 4.9 0.39
339 25.5 0.394
339 43.6 0.349
339 75.3 0.37
339 100.2 0.383
339 125.2 0.244
339 149.4 0.139
339 176 0.126
339 250 0.098
10 5.4 0.279
10 25 0.241
10 47.1 0.272
10 101 0.265
10 125.3 0.181
10 151.8 0.119
10 174.6 0.077
10 251.1 0.063
11 75.2 0.237
49 5.1 0.23
49 25.2 0.3
49 45.3 0.265
49 74.8 0.23
49 99.7 0.303
49 125.3 0.139
49 149.4 0.112
49 175.9 0.084
49 250.4 0.028
76 5.4 0.272
76 24.8 0.237
76 44.6 0.286
76 74.3 0.307
76 99.6 0.286
76 125.7 0.202
76 150.8 0.153
76 174.6 0.112
76 250.3 0.035
104 5.1 0.265
104 25.5 0.293
104 150 0.23
104 174.6 0.167
104 252 0.105
132 5.2 0.237
132 24.8 0.258
132 44.9 0.258
132 74.5 0.265
132 99.2 0.247
132 124.8 0.3
132 150.7 0.223
132 174.4 0.132
132 250.8 0.063
168 4.9 0.279
168 24.6 0.3
168 45 0.321
168 75.1 0.321
168 109.8 0.247
168 124.9 0.258
168 149.1 0.132
168 174.1 0.112
168 253.2 0.07
196 4.5 0.272
196 25.4 0.279
196 44.9 0.342
196 75.3 0.272
196 99.4 0.23
196 125.7 0.237
196 150.1 0.167
196 174.9 0.105
196 250.4 0.07
222 5.2 0.404
222 25.2 0.411
222 45.3 0.404
222 74.9 0.244
222 100.1 0.195
222 125.1 0.119
222 149.4 0.084
222 175.3 0.084
222 250.5 0.126
271 5.2 0.328
271 25.6 0.335
271 75.4 0.307
271 75.4 0.328
271 100.1 0.261
271 125.1 0.237
271 149.9 0.119
271 175.2 0.098
271 250.5 0.098
291 5.6 0.3
291 25.2 0.303
291 44.9 0.265
291 75.5 0.272
291 99.9 0.349
291 125.3 0.258
291 150.7 0.16
291 175.1 0.139
