"DOY" "Depth" "PON"
50 25.2 0.3
50 45.3 0.265
50 74.8 0.23
50 99.7 0.303
50 125.3 0.139
50 149.4 0.112
50 175.9 0.084
78 5.4 0.272
78 24.8 0.237
78 44.6 0.286
78 74.3 0.307
78 99.6 0.286
78 125.7 0.202
78 150.8 0.153
78 174.6 0.112
109 5.1 0.265
109 25.5 0.293
109 150 0.23
109 174.6 0.167
140 5.2 0.237
140 24.8 0.258
140 44.9 0.258
140 74.5 0.265
140 99.2 0.247
140 124.8 0.3
140 150.7 0.223
140 174.4 0.132
170 4.9 0.279
170 24.6 0.3
170 45 0.321
170 75.1 0.321
170 109.8 0.247
170 124.9 0.258
170 149.1 0.132
170 174.1 0.112
200 4.5 0.272
200 25.4 0.279
200 44.9 0.342
200 75.3 0.272
200 99.4 0.23
200 125.7 0.237
200 150.1 0.167
200 174.9 0.105
231 5.2 0.404
231 25.2 0.411
231 45.3 0.404
231 74.9 0.244
231 100.1 0.195
231 125.1 0.119
231 149.4 0.084
231 175.3 0.084
263 5.2 0.328
263 25.6 0.335
263 75.4 0.307
263 75.4 0.328
263 100.1 0.261
263 125.1 0.237
263 149.9 0.119
263 175.2 0.098
292 5.6 0.3
292 25.2 0.303
292 44.9 0.265
292 75.5 0.272
292 99.9 0.349
292 125.3 0.258
292 150.7 0.16
292 175.1 0.139
323 4.8 0.265
323 25.1 0.268
323 44.9 0.251
323 74.9 0.3
323 99.3 0.23
323 125.4 0.153
323 149.7 0.105
323 175.8 0.091
354 5.5 0.342
354 26.1 0.307
354 44.9 0.307
354 75.3 0.314
354 100.8 0.314
354 126.8 0.209
354 150.9 0.132
354 175.6 0.119
354 249.5 0.084
19 5.7 0.307
19 25.9 0.345
19 45.7 0.342
19 75.8 0.293
19 100.7 0.275
19 125.5 0.223
19 150.7 0.188
19 175.9 0.153
50 5.4 0.279
50 25.2 0.303
50 44.6 0.279
50 75.2 0.307
50 100.6 0.268
50 125.7 0.23
50 151.3 0.216
50 177.1 0.153
79 5.6 0.321
79 24.9 0.314
79 45.9 0.349
79 76.8 0.307
79 101.1 0.286
79 125.3 0.286
79 152.3 0.216
79 176 0.153
109 4.9 0.251
109 25.4 0.3
109 44.8 0.314
109 75.1 0.307
109 99.6 0.331
109 125.7 0.251
109 150.3 0.188
109 175 0.16
109 249.5 0.119
139 7.3 0.272
139 27 0.286
139 47.2 0.286
139 76.7 0.244
139 101.5 0.251
139 125.4 0.171
139 149.9 0.098
139 173.8 0.077
139 246.4 0.049
200 4.6 0.293
200 24.6 0.307
200 45.2 0.307
200 75.3 0.321
200 99.6 0.397
200 124.3 0.265
200 149.7 0.202
200 174.7 0.146
200 249.8 0.077
231 25 0.311
231 44.7 0.412
231 75 0.328
231 99.7 0.283
231 124.6 0.279
231 150.5 0.099
231 175.6 0.125
231 249.1 0.045
292 24.5 0.241
292 44.7 0.306
292 74.2 0.261
292 98.9 0.223
292 124.2 0.186
292 149.7 0.119
292 174.7 0.11
292 249.4 0.045
324 4.4 0.263
324 23.9 0.236
324 43.9 0.24
324 73.7 0.24
324 99.1 0.242
324 125.1 0.146
324 149.6 0.113
324 176.3 0.09
353 5.3 0.272
353 24.8 0.3
353 44.6 0.345
353 75.1 0.307
353 100.6 0.216
353 125.3 0.091
353 150.2 0.098
353 174.8 0.084
51 4.3 0.223
51 24.7 0.247
51 44.9 0.237
51 74.4 0.23
51 98.7 0.258
51 123.8 0.181
51 149.4 0.209
51 174.9 0.084
51 4.5 0.244
51 25.5 0.272
51 44.6 0.265
51 76.2 0.244
51 98.8 0.254
51 124.2 0.209
51 149.8 0.139
51 175.3 0.098
80 5.1 0.247
80 25 0.261
80 45.3 0.254
80 74 0.24
80 100.6 0.213
80 125.3 0.155
80 149 0.105
80 173.9 0.084
80 249.8 0.06
110 4.2 0.248
110 24.8 0.27
110 45.4 0.252
110 75.3 0.248
110 99.7 0.273
110 149.8 0.156
110 174.3 0.105
110 250 0.045
110 124.1 0.181
140 4.3 0.275
140 24.2 0.292
140 43.9 0.299
140 74.6 0.299
140 99.2 0.238
140 124.1 0.279
140 148.5 0.138
140 175.8 0.102
172 3.9 0.371
172 29.6 0.516
172 44 0.283
172 74 0.248
172 99.4 0.221
172 123.6 0.201
172 149.1 0.141
172 174.2 0.096
172 249.5 0.059
