species,mu_max,alpha,I_opt,I_max,temperature,daylength,volume,taxon,environment,Chl:C
Thalassiosira weissflogii,1.91E+00,9.52E-03,5.50E+02,6.19E+02,1.80E+01,2.40E+01,1.43E+03,diatom,C,2.00E-02
Prorocentrum micans,2.60E-01,1.19E-03,9.17E+03,5.99E+02,1.80E+01,2.40E+01,1.11E+03,dinoflagellate,C,na
Phaeodactylum tricornutum,1.05E+00,4.61E-02,1.00E+04,2.08E+02,1.40E+01,1.40E+01,1.26E+02,diatom,C,na
Phaeodactylum tricornutum,1.26E+00,5.85E-02,9.14E+03,2.08E+02,1.60E+01,1.40E+01,1.26E+02,diatom,C,na
Phaeodactylum tricornutum,1.46E+00,5.71E-02,6.01E+03,2.08E+02,1.90E+01,1.40E+01,1.26E+02,diatom,C,na
Phaeodactylum tricornutum,1.66E+00,5.28E-02,7.75E+03,2.08E+02,2.10E+01,1.40E+01,1.26E+02,diatom,C,na
Phaeodactylum tricornutum,1.53E+00,4.62E-02,2.61E+02,2.08E+02,2.30E+01,1.40E+01,1.26E+02,diatom,C,na
Phaeodactylum tricornutum,1.50E+00,4.46E-02,1.83E+03,2.08E+02,2.50E+01,1.40E+01,1.26E+02,diatom,C,na
Corethron criophilum,2.36E-01,5.98E-03,2.75E+03,2.20E+02,1.50E-01,2.40E+01,na,diatom,O,na
Corethron criophilum,2.01E-01,7.76E-03,1.22E+04,2.20E+02,2.00E+00,2.40E+01,na,diatom,O,na
Corethron criophilum,3.14E-01,6.49E-03,2.05E+04,2.20E+02,4.00E+00,2.40E+01,na,diatom,O,na
Corethron criophilum,1.19E-01,5.54E-04,1.59E+02,2.20E+02,6.00E+00,2.40E+01,na,diatom,O,na
Synedra sp.,3.50E-01,4.57E-03,1.32E+02,2.20E+02,1.00E+00,2.40E+01,na,diatom,O,na
Synedra sp.,3.88E-01,1.15E-02,1.61E+02,2.20E+02,5.00E+00,2.40E+01,na,diatom,O,na
Synedra sp.,3.09E-01,3.32E-02,2.37E+04,2.20E+02,7.00E+00,2.40E+01,na,diatom,O,na
Nitzschia kerguelensis,3.97E-01,6.42E-03,1.58E+02,2.20E+02,1.50E-01,2.40E+01,na,diatom,O,na
Nitzschia kerguelensis,4.52E-01,3.41E-02,1.07E+04,2.20E+02,3.00E+00,2.40E+01,na,diatom,O,na
Nitzschia kerguelensis,5.91E-01,2.16E-02,2.41E+04,2.20E+02,4.00E+00,2.40E+01,na,diatom,O,na
Nitzschia kerguelensis,3.24E-01,4.46E-03,9.38E+01,2.20E+02,7.00E+00,2.40E+01,na,diatom,O,na
Nitzschia turgiduloides,3.22E-01,5.25E-03,1.61E+02,2.20E+02,1.00E+00,2.40E+01,na,diatom,O,na
Nitzschia turgiduloides,5.13E-01,7.30E-03,1.53E+02,2.20E+02,3.00E+00,2.40E+01,na,diatom,O,na
Nitzschia turgiduloides,4.68E-01,1.18E-02,1.60E+02,2.20E+02,5.00E+00,2.40E+01,na,diatom,O,na
Nitzschia turgiduloides,3.48E-01,7.05E-03,1.57E+02,2.20E+02,7.00E+00,2.40E+01,na,diatom,O,na
Nitzschia turgiduloides,2.67E-01,5.56E-03,1.13E+02,2.20E+02,8.00E+00,2.40E+01,na,diatom,O,na
Nitzschia cylindrus,5.50E-01,7.38E-03,1.41E+02,2.20E+02,1.00E-01,2.40E+01,na,diatom,O,na
Nitzschia cylindrus,4.84E-01,9.04E-03,1.44E+02,2.20E+02,3.00E+00,2.40E+01,na,diatom,O,na
Nitzschia cylindrus,6.02E-01,1.51E-02,3.72E+02,2.20E+02,5.00E+00,2.40E+01,na,diatom,O,na
Nitzschia cylindrus,4.56E-01,6.69E-03,3.02E+02,2.20E+02,7.00E+00,2.40E+01,na,diatom,O,na
Nitzschia cylindrus,4.43E-01,6.73E-03,2.24E+02,2.20E+02,9.00E+00,2.40E+01,na,diatom,O,na
Stellarima microtrias,5.60E-01,1.19E-02,2.91E+02,2.20E+02,1.00E+00,2.40E+01,na,diatom,O,na
Stellarima microtrias,6.89E-01,1.64E-02,9.24E+03,2.20E+02,4.00E+00,2.40E+01,na,diatom,O,na
Stellarima microtrias,3.44E-01,3.25E-02,2.71E+04,2.20E+02,7.00E+00,2.40E+01,na,diatom,O,na
Chaetoceros deflandrei,5.72E-01,1.29E-02,1.65E+02,2.20E+02,7.00E+00,2.40E+01,na,diatom,O,na
Chaetoceros deflandrei,5.37E-01,1.04E-02,1.38E+02,2.20E+02,1.00E+01,2.40E+01,na,diatom,O,na
Chaetoceros deflandrei,5.46E-01,5.90E-03,1.41E+02,2.20E+02,1.30E+01,2.40E+01,na,diatom,O,na
Chaetoceros deflandrei,5.96E-01,5.35E-03,1.37E+02,2.20E+02,1.50E+01,2.40E+01,na,diatom,O,na
Coscinodiscus pavillardii,3.96E-01,1.25E-02,1.34E+02,2.11E+02,2.80E+01,2.40E+01,3.14E+06,diatom,C,na
Trichodesmium erythraeum,3.43E-01,3.46E-03,1.60E+02,3.01E+02,2.40E+01,1.20E+01,na,diazotroph,C,na
Crocosphaera watsonii,5.65E-01,8.57E-03,2.27E+02,2.58E+02,2.80E+01,1.20E+01,8.20E+00,diazotroph,O,na
Crocosphaera watsonii,8.10E-01,1.22E-02,2.48E+02,2.56E+02,2.80E+01,1.20E+01,6.50E+01,diazotroph,O,na
Gyrodinium cf. aureolum,2.78E-01,6.87E-03,1.74E+02,4.40E+02,2.00E+01,1.20E+01,5.60E+03,dinoflagellate,C,2.43E-02
Phaeodactylum tricornutum,1.68E+00,3.38E-02,2.30E+02,2.30E+02,2.30E+01,2.40E+01,na,diatom,C,6.70E-02
Nannochloris atomus,1.13E+00,1.59E-02,1.41E+02,2.28E+02,2.30E+01,2.40E+01,na,chlorophyte,C,1.00E-01
Thalassiosira antarctica var. borealis,3.67E-01,5.33E-03,1.99E+02,5.00E+02,-5.00E-01,1.00E+01,na,diatom,C,na
Thalassiosira antarctica var. borealis,5.75E-01,5.36E-02,6.04E+06,5.00E+02,-5.00E-01,2.40E+01,na,diatom,C,na
Thalassiosira nordenski_ldii,3.60E-01,7.85E-03,1.83E+02,5.00E+02,-5.00E-01,1.00E+01,na,diatom,C,na
Thalassiosira nordenski_ldii,5.75E-01,2.02E-02,1.98E+02,5.00E+02,-5.00E-01,2.40E+01,na,diatom,C,na
Porosira glacialis,3.16E-01,7.80E-03,1.53E+02,5.00E+02,-5.00E-01,1.00E+01,na,diatom,C,na
Porosira glacialis,3.71E-01,2.22E-02,1.86E+02,5.00E+02,-5.00E-01,2.40E+01,na,diatom,C,na
Nitzschia delicatissima,1.61E-01,1.72E-02,1.16E+02,5.00E+02,-5.00E-01,1.00E+01,na,diatom,C,na
Nitzschia delicatissima,4.61E-01,3.53E-02,1.41E+02,5.00E+02,-5.00E-01,2.40E+01,na,diatom,C,na
Thalassiosira bulbosa,3.89E-01,9.98E-03,1.55E+02,5.00E+02,-5.00E-01,1.00E+01,na,diatom,C,na
Thalassiosira bulbosa,6.53E-01,1.97E-02,1.36E+02,5.00E+02,-5.00E-01,2.40E+01,na,diatom,C,na
Thalassiosira bioculata,2.09E-01,5.65E-03,2.78E+02,5.00E+02,-5.00E-01,1.00E+01,na,diatom,C,na
Thalassiosira bioculata,4.26E-01,1.61E-02,1.44E+02,5.00E+02,-5.00E-01,2.40E+01,na,diatom,C,na
Chaetoceros furcellatus,4.60E-01,1.09E-02,1.67E+02,5.00E+02,-5.00E-01,1.00E+01,na,diatom,C,na
Chaetoceros furcellatus,4.78E-01,1.50E-02,1.25E+02,5.00E+02,-5.00E-01,2.40E+01,na,diatom,C,na
Phaeomonas sp.,3.39E-01,2.34E-03,3.55E+02,3.50E+02,2.00E+01,1.10E+01,1.87E+01,pinguiophyte,C,1.50E-03
Minutocellus sp.,8.24E-01,1.97E-02,6.13E+01,2.16E+02,2.00E+01,1.10E+01,1.37E+01,diatom,C,na
Minutocellus sp.,2.25E+00,3.88E-02,1.54E+04,2.16E+02,2.00E+01,1.10E+01,1.30E+01,diatom,C,na
Trichodesmium erythraeum,5.63E-01,8.77E-03,8.03E+02,2.74E+02,2.70E+01,1.20E+01,2.30E+02,diazotroph,C,na
Crocosphaera watsonii,4.46E-01,9.72E-03,2.38E+02,6.01E+02,2.70E+01,1.20E+01,2.20E+01,diazotroph,O,na
Stephanopyxis palmeriana,6.66E-01,7.75E-03,7.31E+01,7.90E+01,2.00E+01,1.20E+01,na,diatom,O,na
Isochrysis galbana,6.55E-01,2.83E-01,2.65E+04,1.68E+02,1.00E+01,1.20E+01,na,haptophyte,C,na
Isochrysis galbana,7.41E-01,2.51E-01,3.58E+03,1.69E+02,1.50E+01,1.20E+01,na,haptophyte,C,na
Isochrysis galbana,1.36E+00,1.13E-01,7.58E+03,1.68E+02,2.00E+01,1.20E+01,na,haptophyte,C,na
Isochrysis galbana,2.54E+00,5.11E-01,1.80E+04,1.67E+02,2.50E+01,1.20E+01,na,haptophyte,C,na
Rhodomonas salina,7.07E-01,2.97E-01,9.29E+03,1.68E+02,1.00E+01,1.20E+01,na,cryptophyte,C,na
Rhodomonas salina,8.33E-01,2.26E-01,8.59E+03,1.68E+02,1.50E+01,1.20E+01,na,cryptophyte,C,na
Rhodomonas salina,1.08E+00,1.18E-01,6.05E+03,1.68E+02,2.00E+01,1.20E+01,na,cryptophyte,C,na
Rhodomonas salina,1.61E+00,1.71E-01,7.56E+01,1.68E+02,2.50E+01,1.20E+01,na,cryptophyte,C,na
Detonula confervacea,1.22E+00,2.51E-02,5.15E+01,2.63E+02,2.00E+00,2.40E+01,1.61E+03,diatom,C,na
Detonula confervacea,6.61E-01,9.79E-02,3.28E+01,2.63E+02,2.00E+00,1.50E+01,1.61E+03,diatom,C,na
Detonula confervacea,4.36E-01,1.38E-01,5.94E+01,2.63E+02,2.00E+00,1.20E+01,1.61E+03,diatom,C,na
Detonula confervacea,8.69E-01,5.70E-02,7.96E+01,2.63E+02,7.00E+00,2.40E+01,1.61E+03,diatom,C,na
Detonula confervacea,8.93E-01,1.19E-01,1.63E+11,2.63E+02,7.00E+00,1.50E+01,1.61E+03,diatom,C,na
Detonula confervacea,7.83E-01,2.79E-02,1.87E+02,2.63E+02,7.00E+00,1.20E+01,1.61E+03,diatom,C,na
Triparma laevis,2.32E+00,4.67E-02,7.12E+02,4.96E+02,5.00E+00,1.40E+01,na,bolidophyte,O,na
Rhizosolenia fragilissima,4.78E-01,6.45E-02,8.79E+01,2.63E+02,9.00E+00,2.40E+01,na,diatom,C,na
Rhizosolenia fragilissima,8.23E-01,7.42E-02,7.06E+01,2.63E+02,1.20E+01,2.40E+01,na,diatom,C,na
Rhizosolenia fragilissima,8.22E-01,2.90E+00,2.39E+07,2.63E+02,1.80E+01,2.40E+01,na,diatom,C,na
Rhizosolenia fragilissima,8.35E-01,1.03E+00,5.40E+01,2.63E+02,2.50E+01,2.40E+01,na,diatom,C,na
Pycnococcus provasolii,3.11E-01,2.80E-02,1.27E+02,3.58E+02,1.00E+01,1.20E+01,na,chlorophyte,O,na
Pycnococcus provasolii,7.03E-01,3.87E-02,2.75E+03,3.53E+02,1.50E+01,1.20E+01,1.09E+01,chlorophyte,O,2.50E-02
Pycnococcus provasolii,6.54E-01,4.70E-02,8.04E+03,5.34E+02,2.00E+01,1.20E+01,1.09E+01,chlorophyte,O,2.86E-02
Phaeocystis globosa,8.11E-01,1.96E-02,3.54E+04,3.58E+02,1.40E+01,na,1.72E+02,phaeocystis,C,na
Isochrysis galbana,4.13E-01,3.04E-02,4.08E+01,4.67E+01,2.50E+01,na,5.30E+01,haptophyte,na,na
Asterionella glacialis,9.53E-01,1.63E-02,9.45E+01,1.22E+02,1.80E+01,2.40E+01,9.78E+01,diatom,C,na
Synechococcus,1.78E+00,2.09E-02,7.57E+02,1.34E+03,2.25E+01,2.40E+01,1.19E+00,cyanobacteria,O,1.80E-02
Gambierdiscus australes,2.78E-01,2.28E-03,7.72E+01,6.14E+02,2.60E+01,1.20E+01,9.31E+04,dinoflagellate,na,na
Gambierdiscus caribaeus,2.62E-01,8.74E-04,1.75E+02,6.69E+02,2.60E+01,1.20E+01,1.70E+05,dinoflagellate,na,na
Gambierdiscus carpenteri,3.94E-01,7.57E-03,1.59E+02,6.11E+02,2.60E+01,1.20E+01,1.50E+05,dinoflagellate,na,na
Gambierdiscus ruetzleri,2.78E-01,4.93E-03,2.16E+02,6.63E+02,2.60E+01,1.20E+01,6.00E+04,dinoflagellate,na,na
Gambierdiscus ribotype2,2.70E-01,2.22E-03,9.04E+01,6.70E+02,2.60E+01,1.20E+01,9.00E+04,dinoflagellate,na,na
Thalassiosira rotula,1.91E+00,3.55E-02,2.36E+02,3.19E+02,1.50E+01,1.20E+01,2.82E+03,diatom,C,na
Thalassiosira rotula,1.83E+00,1.43E-01,1.05E+04,3.20E+02,1.50E+01,1.20E+01,2.24E+03,diatom,C,na
Thalassiosira rotula,3.81E+00,3.92E-02,5.15E+09,2.95E+02,2.50E+01,1.20E+01,2.82E+03,diatom,C,na
Thalassiosira rotula,2.35E+00,2.82E-02,1.90E+02,2.96E+02,2.50E+01,1.20E+01,2.24E+03,diatom,C,na
Skeletonema costatum,1.72E+00,1.99E-02,3.03E+02,4.50E+02,1.50E+01,1.40E+01,1.19E+02,diatom,C,5.56E-02
Olisthodiscus luteus,6.30E-01,3.59E-03,2.66E+02,4.07E+02,1.50E+01,1.40E+01,9.83E+02,raphidophyte,C,2.08E-02
Alexandrium tamarense,4.23E-01,1.26E-03,3.08E+02,4.07E+02,1.50E+01,1.40E+01,1.37E+04,dinoflagellate,C,1.75E-02
Prymnesium parvum,3.66E-01,3.44E-03,1.69E+02,2.50E+02,2.50E+01,1.20E+01,na,haptophyte,C,na
Prymnesium parvum,5.33E-01,7.93E-03,1.45E+02,2.50E+02,2.50E+01,1.20E+01,na,haptophyte,C,na
Prymnesium parvum,1.40E-01,3.61E-03,4.17E+03,2.50E+02,2.50E+01,1.20E+01,na,haptophyte,C,na
Prymnesium patelliferum,5.46E-01,1.37E-02,2.10E+02,2.50E+02,2.50E+01,1.20E+01,na,haptophyte,C,na
Prymnesium patelliferum,9.67E-01,1.43E-02,2.87E+02,2.50E+02,2.50E+01,1.20E+01,na,haptophyte,C,na
Prymnesium patelliferum,6.94E-01,2.12E-02,3.40E+04,2.50E+02,2.50E+01,1.20E+01,na,haptophyte,C,na
Thalassiosira weissflogii,1.16E+00,2.97E-02,2.49E+02,2.10E+02,2.00E+01,1.20E+01,na,diatom,na,5.60E-02
Alexandrium minutum,5.10E-01,2.80E-03,9.09E+01,1.40E+02,2.00E+01,1.50E+01,5.00E+03,dinoflagellate,C,na
Alexandrium tamiyavanichii,2.77E-01,1.72E-03,8.24E+01,1.00E+02,2.00E+01,1.50E+01,3.02E+04,dinoflagellate,C,na
Tetraselmis sp.,3.18E-01,1.04E-02,3.53E+01,5.46E+01,1.80E+01,1.40E+01,na,chlorophyte,O,na
Nitzschia closterium,8.06E-01,3.76E-02,5.14E+01,5.46E+01,1.80E+01,1.40E+01,7.80E+01,diatom,C,na
Synechococcus,1.02E+00,2.47E-02,2.78E+02,4.67E+02,2.40E+01,1.40E+01,na,cyanobacteria,O,na
Prochlorococcus,5.28E-01,4.16E-02,3.78E+01,1.48E+02,2.40E+01,1.40E+01,1.30E-01,cyanobacteria,O,na
Prochlorococcus,6.36E-01,2.15E-02,1.51E+02,4.64E+02,2.40E+01,1.40E+01,1.30E-01,cyanobacteria,O,na
Rhizosolenia formosa,4.33E-01,6.31E-03,3.57E+01,2.11E+02,2.10E+01,1.20E+01,9.20E+06,diatom,O,na
Rhizosolenia acuminata,7.80E-01,2.59E-03,1.12E+02,2.10E+02,2.10E+01,1.20E+01,6.83E+06,diatom,O,na
Rhizosolenia castracanei,3.97E-01,3.47E-03,1.39E+02,2.10E+02,2.10E+01,1.20E+01,7.66E+06,diatom,O,na
Chaetoceros protuberans,1.27E+00,3.08E-02,7.26E+01,1.85E+02,1.90E+01,2.40E+01,1.00E+03,diatom,C,4.00E-02
Haslea ostrearia,5.86E-01,7.09E-02,3.54E+06,7.50E+02,1.50E+01,1.40E+01,na,diatom,C,na
Emiliania huxleyi,5.08E-01,1.75E-02,1.15E+02,1.76E+02,1.60E+01,1.40E+01,3.08E+01,coccolithophore,O,8.93E-03
Aureoumbra lagunensis,7.06E-01,9.71E-03,3.19E+02,2.25E+02,2.50E+01,1.20E+01,2.45E+01,pelagophyte,C,na
Gyrodinium aureolum,2.88E-01,5.74E-03,1.97E+02,8.30E+02,1.50E+01,1.80E+01,na,dinoflagellate,C,4.00E-02
Gymnodinium galatheanum,3.05E-01,2.97E-03,1.89E+02,4.81E+02,1.50E+01,1.80E+01,na,dinoflagellate,C,1.50E-02
Emiliania huxleyi,8.83E-01,8.42E-03,4.16E+02,8.00E+02,1.50E+01,1.20E+01,4.66E+01,coccolithophore,C,na
Emiliania huxleyi,8.71E-01,1.40E-02,4.95E+02,8.00E+02,1.50E+01,1.80E+01,4.66E+01,coccolithophore,C,3.10E-02
Emiliania huxleyi,8.67E-01,1.63E-02,8.50E+02,8.00E+02,1.50E+01,2.40E+01,4.66E+01,coccolithophore,C,2.80E-02
Eucampia zodiacus,9.04E-01,3.24E-02,2.29E+02,3.50E+02,8.00E+00,1.00E+01,2.00E+04,diatom,C,na
Eucampia zodiacus,1.02E+00,3.15E-02,7.63E+02,3.50E+02,9.00E+00,1.00E+01,2.00E+04,diatom,C,na
Eucampia zodiacus,1.39E+00,3.38E-02,1.51E+04,3.50E+02,1.25E+01,1.00E+01,2.00E+04,diatom,C,na
Eucampia zodiacus,1.81E+00,3.19E-02,1.58E+03,3.50E+02,1.50E+01,1.00E+01,2.00E+04,diatom,C,na
Eucampia zodiacus,2.64E+00,3.22E-02,3.70E+02,3.50E+02,2.50E+01,1.00E+01,2.00E+04,diatom,C,na
Coscinodiscus wailesii,5.76E-01,7.49E-03,2.11E+02,3.50E+02,9.00E+00,1.00E+01,6.00E+05,diatom,C,na
Coscinodiscus wailesii,6.80E-01,1.32E-02,3.69E+02,3.50E+02,1.25E+01,1.00E+01,6.00E+05,diatom,C,na
Coscinodiscus wailesii,9.18E-01,1.20E-02,3.55E+02,3.50E+02,1.50E+01,1.00E+01,6.00E+05,diatom,C,na
Coscinodiscus wailesii,1.15E+00,1.06E-02,2.60E+02,3.50E+02,2.00E+01,1.00E+01,6.00E+05,diatom,C,na
Coscinodiscus granii,4.50E-01,1.37E-02,1.58E+02,3.50E+02,9.00E+00,1.00E+01,na,diatom,C,na
Coscinodiscus granii,6.49E-01,2.24E-02,2.28E+02,3.50E+02,1.25E+01,1.00E+01,na,diatom,C,na
Coscinodiscus granii,7.69E-01,1.55E-02,1.92E+02,3.50E+02,1.50E+01,1.00E+01,na,diatom,C,na
Coscinodiscus granii,1.21E+00,1.97E-02,2.39E+02,3.50E+02,2.00E+01,1.00E+01,na,diatom,C,na
